+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | BNBUSDT   |
| No. days                    | 893.666   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0762%   |
| Final balance               | 1405.64   |
| Final equity                | 1405.2    |
| Net PNL + fees              | 405.642   |
| Total gain                  | 42.91%    |
| Average daily gain          | 0.0432%   |
| DG mean std ratio           | 0.04369   |
| Price action distance mean  | 0.0185693 |
| Price action distance std   | 0.0383293 |
| Price action distance max   | 1.61047   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6915    |
| Equity/balance ratio std    | 0.01286   |
| No. fills                   | 19393     |
| No. entries                 | 10225     |
| No. closes                  | 9168      |
| No. initial entries         | 8373      |
| No. reentries               | 1833      |
| No. unstuck entries         | 19        |
| No. unstuck closes          | 492       |
| No. normal closes           | 8676      |
| Average n fills per day     | 21.7      |
| Mean hours stuck            | 5.28406   |
| Max hours stuck             | 341.183   |
| PNL sum                     | 429.1     |
| Profit sum                  | 581.5     |
| Loss sum                    | -152.4    |
| Fee sum                     | -23.41    |
| Biggest pos size            | 36.41     |
| Biggest pos cost            | 703.9     |
| Volume quote                | 234150.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -3.07%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -964.986  |
| Total gain                  | -96.06%   |
| Average daily gain          | -0.514%   |
| DG mean std ratio           | -0.07019  |
| Price action distance mean  | 0.040507  |
| Price action distance std   | 0.0827522 |
| Price action distance max   | 0.645143  |
| Closest bankruptcy          | 5.939%    |
| Lowest equity/balance ratio | 0.09122   |
| Equity/balance ratio std    | 0.05575   |
| No. fills                   | 3969      |
| No. entries                 | 2131      |
| No. closes                  | 1837      |
| No. initial entries         | 1485      |
| No. reentries               | 622       |
| No. unstuck entries         | 24        |
| No. unstuck closes          | 347       |
| No. normal closes           | 1490      |
| Average n fills per day     | 4.44      |
| Mean hours stuck            | 14.6603   |
| Max hours stuck             | 12454.6   |
| PNL sum                     | -960.6    |
| Profit sum                  | 140.8     |
| Loss sum                    | -1101.0   |
| Fee sum                     | -4.349    |
| Biggest pos size            | 42.77     |
| Biggest pos cost            | 567.3     |
| Volume quote                | 43278.8   |
+-----------------------------+-----------+
