+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | BNBUSDT   |
| No. days                    | 893.666   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0907%   |
| Final balance               | 2088.43   |
| Final equity                | 2087.47   |
| Net PNL + fees              | 1088.43   |
| Total gain                  | 113.4%    |
| Average daily gain          | 0.124%    |
| DG mean std ratio           | 0.04434   |
| Price action distance mean  | 0.0687154 |
| Price action distance std   | 0.149171  |
| Price action distance max   | 1.62189   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.4376    |
| Equity/balance ratio std    | 0.09123   |
| No. fills                   | 17313     |
| No. entries                 | 10091     |
| No. closes                  | 7222      |
| No. initial entries         | 7133      |
| No. reentries               | 2958      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 7222      |
| Average n fills per day     | 19.4      |
| Mean hours stuck            | 3.50629   |
| Max hours stuck             | 2296.63   |
| PNL sum                     | 1134.0    |
| Profit sum                  | 1134.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -46.05    |
| Biggest pos size            | 56.43     |
| Biggest pos cost            | 1814.0    |
| Volume quote                | 460473.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -0.0198%  |
| Final balance               | 984.025   |
| Final equity                | 835.742   |
| Net PNL + fees              | -15.9753  |
| Total gain                  | -1.516%   |
| Average daily gain          | 0.00877%  |
| DG mean std ratio           | 0.003616  |
| Price action distance mean  | 0.442285  |
| Price action distance std   | 0.356527  |
| Price action distance max   | 0.862065  |
| Closest bankruptcy          | 73.39%    |
| Lowest equity/balance ratio | 0.4602    |
| Equity/balance ratio std    | 0.1562    |
| No. fills                   | 4556      |
| No. entries                 | 2500      |
| No. closes                  | 2056      |
| No. initial entries         | 1581      |
| No. reentries               | 805       |
| No. unstuck entries         | 114       |
| No. unstuck closes          | 467       |
| No. normal closes           | 1589      |
| Average n fills per day     | 5.1       |
| Mean hours stuck            | 13.102    |
| Max hours stuck             | 12679.2   |
| PNL sum                     | -15.16    |
| Profit sum                  | 23.54     |
| Loss sum                    | -38.69    |
| Fee sum                     | -0.8181   |
| Biggest pos size            | 11.37     |
| Biggest pos cost            | 92.3      |
| Volume quote                | 8180.85   |
+-----------------------------+-----------+
