+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | BNBUSDT   |
| No. days                    | 893.666   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.101%    |
| Final balance               | 1569.98   |
| Final equity                | 1569.01   |
| Net PNL + fees              | 569.981   |
| Total gain                  | 60.57%    |
| Average daily gain          | 0.0562%   |
| DG mean std ratio           | 0.05343   |
| Price action distance mean  | 0.0252332 |
| Price action distance std   | 0.0539069 |
| Price action distance max   | 1.70176   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.685     |
| Equity/balance ratio std    | 0.01737   |
| No. fills                   | 24940     |
| No. entries                 | 14363     |
| No. closes                  | 10577     |
| No. initial entries         | 8360      |
| No. reentries               | 5804      |
| No. unstuck entries         | 199       |
| No. unstuck closes          | 2031      |
| No. normal closes           | 8546      |
| Average n fills per day     | 27.9      |
| Mean hours stuck            | 1.91227   |
| Max hours stuck             | 383.533   |
| PNL sum                     | 605.7     |
| Profit sum                  | 882.6     |
| Loss sum                    | -276.9    |
| Fee sum                     | -35.69    |
| Biggest pos size            | 34.21     |
| Biggest pos cost            | 802.2     |
| Volume quote                | 356892.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -3.07%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -909.152  |
| Total gain                  | -90.58%   |
| Average daily gain          | -0.514%   |
| DG mean std ratio           | -0.04908  |
| Price action distance mean  | 0.0304211 |
| Price action distance std   | 0.0451549 |
| Price action distance max   | 0.644308  |
| Closest bankruptcy          | 5.82%     |
| Lowest equity/balance ratio | 0.09341   |
| Equity/balance ratio std    | 0.02367   |
| No. fills                   | 3726      |
| No. entries                 | 2670      |
| No. closes                  | 1055      |
| No. initial entries         | 1053      |
| No. reentries               | 1617      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 1055      |
| Average n fills per day     | 4.17      |
| Mean hours stuck            | 7.48882   |
| Max hours stuck             | 12664.0   |
| PNL sum                     | -905.8    |
| Profit sum                  | 104.8     |
| Loss sum                    | -1011.0   |
| Fee sum                     | -3.337    |
| Biggest pos size            | 40.92     |
| Biggest pos cost            | 551.3     |
| Volume quote                | 32816.8   |
+-----------------------------+-----------+
