+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | DOGEUSDT  |
| No. days                    | 824.625   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.177%    |
| Final balance               | 2074.39   |
| Final equity                | 2073.0    |
| Net PNL + fees              | 1074.39   |
| Total gain                  | 108.3%    |
| Average daily gain          | 0.0942%   |
| DG mean std ratio           | 0.08806   |
| Price action distance mean  | 0.0351427 |
| Price action distance std   | 0.0368193 |
| Price action distance max   | 0.566075  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8201    |
| Equity/balance ratio std    | 0.01392   |
| No. fills                   | 30607     |
| No. entries                 | 1718      |
| No. closes                  | 28889     |
| No. initial entries         | 625       |
| No. reentries               | 861       |
| No. unstuck entries         | 232       |
| No. unstuck closes          | 27995     |
| No. normal closes           | 894       |
| Average n fills per day     | 37.1      |
| Mean hours stuck            | 2.58537   |
| Max hours stuck             | 829.283   |
| PNL sum                     | 1083.0    |
| Profit sum                  | 1507.0    |
| Loss sum                    | -423.9    |
| Fee sum                     | -8.26     |
| Biggest pos size            | 113765.0  |
| Biggest pos cost            | 1164.0    |
| Volume quote                | 82603.0   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -3.32%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -945.572  |
| Total gain                  | -94.49%   |
| Average daily gain          | -0.557%   |
| DG mean std ratio           | -0.03592  |
| Price action distance mean  | 0.0520473 |
| Price action distance std   | 0.088964  |
| Price action distance max   | 0.635646  |
| Closest bankruptcy          | 5.99%     |
| Lowest equity/balance ratio | 0.1277    |
| Equity/balance ratio std    | 0.0415    |
| No. fills                   | 29314     |
| No. entries                 | 311       |
| No. closes                  | 29002     |
| No. initial entries         | 24        |
| No. reentries               | 175       |
| No. unstuck entries         | 112       |
| No. unstuck closes          | 28972     |
| No. normal closes           | 30        |
| Average n fills per day     | 35.5      |
| Mean hours stuck            | 3.87679   |
| Max hours stuck             | 14928.9   |
| PNL sum                     | -944.9    |
| Profit sum                  | 96.33     |
| Loss sum                    | -1041.0   |
| Fee sum                     | -0.7051   |
| Biggest pos size            | 149035.0  |
| Biggest pos cost            | 536.2     |
| Volume quote                | 6730.22   |
+-----------------------------+-----------+
