+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | LTCUSDT   |
| No. days                    | 1007.66   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0769%   |
| Final balance               | 1472.74   |
| Final equity                | 1449.78   |
| Net PNL + fees              | 472.744   |
| Total gain                  | 50.88%    |
| Average daily gain          | 0.0399%   |
| DG mean std ratio           | 0.0516    |
| Price action distance mean  | 0.0252474 |
| Price action distance std   | 0.0304863 |
| Price action distance max   | 0.880821  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7653    |
| Equity/balance ratio std    | 0.008292  |
| No. fills                   | 21436     |
| No. entries                 | 11023     |
| No. closes                  | 10413     |
| No. initial entries         | 9808      |
| No. reentries               | 1209      |
| No. unstuck entries         | 6         |
| No. unstuck closes          | 19        |
| No. normal closes           | 10394     |
| Average n fills per day     | 21.3      |
| Mean hours stuck            | 7.91615   |
| Max hours stuck             | 649.2     |
| PNL sum                     | 508.8     |
| Profit sum                  | 552.8     |
| Loss sum                    | -44.01    |
| Fee sum                     | -36.07    |
| Biggest pos size            | 12.3      |
| Biggest pos cost            | 717.3     |
| Volume quote                | 360676.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0434%   |
| Final balance               | 1244.27   |
| Final equity                | 1244.18   |
| Net PNL + fees              | 244.266   |
| Total gain                  | 26.32%    |
| Average daily gain          | 0.0414%   |
| DG mean std ratio           | 0.02051   |
| Price action distance mean  | 0.0559233 |
| Price action distance std   | 0.0920866 |
| Price action distance max   | 0.540571  |
| Closest bankruptcy          | 41.14%    |
| Lowest equity/balance ratio | 0.4341    |
| Equity/balance ratio std    | 0.06965   |
| No. fills                   | 13805     |
| No. entries                 | 7299      |
| No. closes                  | 6506      |
| No. initial entries         | 6336      |
| No. reentries               | 959       |
| No. unstuck entries         | 4         |
| No. unstuck closes          | 4         |
| No. normal closes           | 6502      |
| Average n fills per day     | 13.7      |
| Mean hours stuck            | 3.65094   |
| Max hours stuck             | 2728.95   |
| PNL sum                     | 263.2     |
| Profit sum                  | 270.9     |
| Loss sum                    | -7.715    |
| Fee sum                     | -18.94    |
| Biggest pos size            | 8.5       |
| Biggest pos cost            | 606.9     |
| Volume quote                | 189361.0  |
+-----------------------------+-----------+
