+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | DOTUSDT   |
| No. days                    | 781.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.234%    |
| Final balance               | 3441.37   |
| Final equity                | 3440.24   |
| Net PNL + fees              | 2441.37   |
| Total gain                  | 249.6%    |
| Average daily gain          | 0.161%    |
| DG mean std ratio           | 0.2124    |
| Price action distance mean  | 0.0103452 |
| Price action distance std   | 0.0109981 |
| Price action distance max   | 0.888258  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6816    |
| Equity/balance ratio std    | 0.005076  |
| No. fills                   | 12693     |
| No. entries                 | 7482      |
| No. closes                  | 5211      |
| No. initial entries         | 5264      |
| No. reentries               | 2218      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 5211      |
| Average n fills per day     | 16.2      |
| Mean hours stuck            | 2.14362   |
| Max hours stuck             | 64.8333   |
| PNL sum                     | 2496.0    |
| Profit sum                  | 2496.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -54.77    |
| Biggest pos size            | 323.9     |
| Biggest pos cost            | 2205.0    |
| Volume quote                | 547733.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -5.4%     |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -922.819  |
| Total gain                  | -92.18%   |
| Average daily gain          | -0.587%   |
| DG mean std ratio           | -0.03399  |
| Price action distance mean  | 0.17072   |
| Price action distance std   | 0.250904  |
| Price action distance max   | 0.737784  |
| Closest bankruptcy          | 5.969%    |
| Lowest equity/balance ratio | 0.08549   |
| Equity/balance ratio std    | 0.1199    |
| No. fills                   | 1722      |
| No. entries                 | 994       |
| No. closes                  | 727       |
| No. initial entries         | 735       |
| No. reentries               | 259       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 727       |
| Average n fills per day     | 2.2       |
| Mean hours stuck            | 15.2528   |
| Max hours stuck             | 14677.2   |
| PNL sum                     | -921.8    |
| Profit sum                  | 35.49     |
| Loss sum                    | -957.3    |
| Fee sum                     | -1.007    |
| Biggest pos size            | 69.7      |
| Biggest pos cost            | 336.2     |
| Volume quote                | 9731.59   |
+-----------------------------+-----------+
