+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | ADAUSDT   |
| No. days                    | 985.666   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.141%    |
| Final balance               | 2003.91   |
| Final equity                | 1979.79   |
| Net PNL + fees              | 1003.91   |
| Total gain                  | 105.8%    |
| Average daily gain          | 0.0746%   |
| DG mean std ratio           | 0.07453   |
| Price action distance mean  | 0.0444731 |
| Price action distance std   | 0.116086  |
| Price action distance max   | 1.43352   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7048    |
| Equity/balance ratio std    | 0.02865   |
| No. fills                   | 33028     |
| No. entries                 | 20633     |
| No. closes                  | 12395     |
| No. initial entries         | 10306     |
| No. reentries               | 10324     |
| No. unstuck entries         | 3         |
| No. unstuck closes          | 132       |
| No. normal closes           | 12263     |
| Average n fills per day     | 33.5      |
| Mean hours stuck            | 1.11559   |
| Max hours stuck             | 848.633   |
| PNL sum                     | 1058.0    |
| Profit sum                  | 1067.0    |
| Loss sum                    | -9.025    |
| Fee sum                     | -54.19    |
| Biggest pos size            | 11943.0   |
| Biggest pos cost            | 991.7     |
| Volume quote                | 541911.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -2.78%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -908.608  |
| Total gain                  | -90.42%   |
| Average daily gain          | -0.466%   |
| DG mean std ratio           | -0.05964  |
| Price action distance mean  | 0.218049  |
| Price action distance std   | 0.192247  |
| Price action distance max   | 0.64389   |
| Closest bankruptcy          | 5.946%    |
| Lowest equity/balance ratio | 0.09764   |
| Equity/balance ratio std    | 0.08247   |
| No. fills                   | 1613      |
| No. entries                 | 1281      |
| No. closes                  | 331       |
| No. initial entries         | 283       |
| No. reentries               | 998       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 46        |
| No. normal closes           | 285       |
| Average n fills per day     | 1.64      |
| Mean hours stuck            | 24.3124   |
| Max hours stuck             | 20662.6   |
| PNL sum                     | -904.2    |
| Profit sum                  | 92.05     |
| Loss sum                    | -996.2    |
| Fee sum                     | -4.424    |
| Biggest pos size            | 17858.0   |
| Biggest pos cost            | 543.9     |
| Volume quote                | 43699.3   |
+-----------------------------+-----------+
