+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | TRXUSDT   |
| No. days                    | 1001.66   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0777%   |
| Final balance               | 2028.08   |
| Final equity                | 2026.04   |
| Net PNL + fees              | 1028.08   |
| Total gain                  | 108.4%    |
| Average daily gain          | 0.096%    |
| DG mean std ratio           | 0.04328   |
| Price action distance mean  | 0.0551597 |
| Price action distance std   | 0.13962   |
| Price action distance max   | 1.09257   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.5253    |
| Equity/balance ratio std    | 0.08227   |
| No. fills                   | 24087     |
| No. entries                 | 13591     |
| No. closes                  | 10496     |
| No. initial entries         | 10013     |
| No. reentries               | 3578      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 10496     |
| Average n fills per day     | 24.0      |
| Mean hours stuck            | 1.81406   |
| Max hours stuck             | 2538.6    |
| PNL sum                     | 1084.0    |
| Profit sum                  | 1084.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -56.34    |
| Biggest pos size            | 78010.0   |
| Biggest pos cost            | 1770.0    |
| Volume quote                | 563440.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.137%    |
| Final balance               | 1133.15   |
| Final equity                | 1133.46   |
| Net PNL + fees              | 133.146   |
| Total gain                  | 13.46%    |
| Average daily gain          | 0.0154%   |
| DG mean std ratio           | 0.02008   |
| Price action distance mean  | 0.110899  |
| Price action distance std   | 0.162438  |
| Price action distance max   | 0.711143  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7761    |
| Equity/balance ratio std    | 0.03207   |
| No. fills                   | 2360      |
| No. entries                 | 1372      |
| No. closes                  | 988       |
| No. initial entries         | 455       |
| No. reentries               | 917       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 988       |
| Average n fills per day     | 2.36      |
| Mean hours stuck            | 13.4376   |
| Max hours stuck             | 3901.8    |
| PNL sum                     | 134.6     |
| Profit sum                  | 134.6     |
| Loss sum                    | 0.0       |
| Fee sum                     | -1.493    |
| Biggest pos size            | 8403.0    |
| Biggest pos cost            | 101.4     |
| Volume quote                | 14934.5   |
+-----------------------------+-----------+
