+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | AVAXUSDT  |
| No. days                    | 749.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.011%    |
| Final balance               | 1042.24   |
| Final equity                | 1016.1    |
| Net PNL + fees              | 42.2387   |
| Total gain                  | 6.574%    |
| Average daily gain          | 0.00779%  |
| DG mean std ratio           | 0.007402  |
| Price action distance mean  | 0.0459368 |
| Price action distance std   | 0.0927852 |
| Price action distance max   | 1.00408   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7514    |
| Equity/balance ratio std    | 0.03062   |
| No. fills                   | 24268     |
| No. entries                 | 12923     |
| No. closes                  | 11345     |
| No. initial entries         | 11182     |
| No. reentries               | 1698      |
| No. unstuck entries         | 43        |
| No. unstuck closes          | 153       |
| No. normal closes           | 11192     |
| Average n fills per day     | 32.4      |
| Mean hours stuck            | 2.11285   |
| Max hours stuck             | 530.9     |
| PNL sum                     | 65.74     |
| Profit sum                  | 441.8     |
| Loss sum                    | -376.1    |
| Fee sum                     | -23.5     |
| Biggest pos size            | 55.4      |
| Biggest pos cost            | 692.9     |
| Volume quote                | 235027.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0923%   |
| Final balance               | 1413.44   |
| Final equity                | 1413.42   |
| Net PNL + fees              | 413.439   |
| Total gain                  | 43.28%    |
| Average daily gain          | 0.0472%   |
| DG mean std ratio           | 0.09624   |
| Price action distance mean  | 0.0234744 |
| Price action distance std   | 0.0199224 |
| Price action distance max   | 0.176891  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8928    |
| Equity/balance ratio std    | 0.005319  |
| No. fills                   | 22133     |
| No. entries                 | 12380     |
| No. closes                  | 9753      |
| No. initial entries         | 9678      |
| No. reentries               | 2699      |
| No. unstuck entries         | 3         |
| No. unstuck closes          | 11        |
| No. normal closes           | 9742      |
| Average n fills per day     | 29.5      |
| Mean hours stuck            | 2.14177   |
| Max hours stuck             | 81.4      |
| PNL sum                     | 432.8     |
| Profit sum                  | 435.9     |
| Loss sum                    | -3.106    |
| Fee sum                     | -19.39    |
| Biggest pos size            | 82.5      |
| Biggest pos cost            | 645.1     |
| Volume quote                | 193850.0  |
+-----------------------------+-----------+
