+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | AVAXUSDT  |
| No. days                    | 749.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0798%   |
| Final balance               | 1348.77   |
| Final equity                | 1320.02   |
| Net PNL + fees              | 348.769   |
| Total gain                  | 39.35%    |
| Average daily gain          | 0.0459%   |
| DG mean std ratio           | 0.03831   |
| Price action distance mean  | 0.0786385 |
| Price action distance std   | 0.0783584 |
| Price action distance max   | 0.833796  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7727    |
| Equity/balance ratio std    | 0.02607   |
| No. fills                   | 36719     |
| No. entries                 | 29152     |
| No. closes                  | 7567      |
| No. initial entries         | 5794      |
| No. reentries               | 23312     |
| No. unstuck entries         | 46        |
| No. unstuck closes          | 197       |
| No. normal closes           | 7370      |
| Average n fills per day     | 49.0      |
| Mean hours stuck            | 1.02123   |
| Max hours stuck             | 591.233   |
| PNL sum                     | 393.5     |
| Profit sum                  | 1085.0    |
| Loss sum                    | -691.0    |
| Fee sum                     | -44.75    |
| Biggest pos size            | 66.0      |
| Biggest pos cost            | 953.2     |
| Volume quote                | 447532.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -3.65%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -912.353  |
| Total gain                  | -91.08%   |
| Average daily gain          | -0.612%   |
| DG mean std ratio           | -0.06609  |
| Price action distance mean  | 0.0708361 |
| Price action distance std   | 0.142309  |
| Price action distance max   | 0.643607  |
| Closest bankruptcy          | 5.947%    |
| Lowest equity/balance ratio | 0.0966    |
| Equity/balance ratio std    | 0.05401   |
| No. fills                   | 1810      |
| No. entries                 | 1195      |
| No. closes                  | 614       |
| No. initial entries         | 615       |
| No. reentries               | 580       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 614       |
| Average n fills per day     | 2.41      |
| Mean hours stuck            | 12.8982   |
| Max hours stuck             | 15229.3   |
| PNL sum                     | -910.8    |
| Profit sum                  | 42.9      |
| Loss sum                    | -953.7    |
| Fee sum                     | -1.572    |
| Biggest pos size            | 137.2     |
| Biggest pos cost            | 520.9     |
| Volume quote                | 15198.2   |
+-----------------------------+-----------+
