+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | UNIUSDT   |
| No. days                    | 754.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.111%    |
| Final balance               | 1521.35   |
| Final equity                | 1521.13   |
| Net PNL + fees              | 521.348   |
| Total gain                  | 62.33%    |
| Average daily gain          | 0.0623%   |
| DG mean std ratio           | 0.05493   |
| Price action distance mean  | 0.011899  |
| Price action distance std   | 0.0225975 |
| Price action distance max   | 1.17468   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7288    |
| Equity/balance ratio std    | 0.009475  |
| No. fills                   | 40032     |
| No. entries                 | 24992     |
| No. closes                  | 15040     |
| No. initial entries         | 8928      |
| No. reentries               | 14389     |
| No. unstuck entries         | 1675      |
| No. unstuck closes          | 2876      |
| No. normal closes           | 12164     |
| Average n fills per day     | 53.0      |
| Mean hours stuck            | 0.959069  |
| Max hours stuck             | 44.1      |
| PNL sum                     | 623.3     |
| Profit sum                  | 2741.0    |
| Loss sum                    | -2118.0   |
| Fee sum                     | -101.9    |
| Biggest pos size            | 315.1     |
| Biggest pos cost            | 976.3     |
| Volume quote                | 1019210.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.00321%  |
| Final balance               | 1012.2    |
| Final equity                | 1012.2    |
| Net PNL + fees              | 12.2046   |
| Total gain                  | 1.399%    |
| Average daily gain          | 0.00713%  |
| DG mean std ratio           | 0.006797  |
| Price action distance mean  | 0.0654643 |
| Price action distance std   | 0.0583277 |
| Price action distance max   | 0.389572  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8234    |
| Equity/balance ratio std    | 0.0194    |
| No. fills                   | 901       |
| No. entries                 | 490       |
| No. closes                  | 411       |
| No. initial entries         | 354       |
| No. reentries               | 113       |
| No. unstuck entries         | 23        |
| No. unstuck closes          | 12        |
| No. normal closes           | 399       |
| Average n fills per day     | 1.19      |
| Mean hours stuck            | 22.7836   |
| Max hours stuck             | 525.733   |
| PNL sum                     | 13.99     |
| Profit sum                  | 176.3     |
| Loss sum                    | -162.3    |
| Fee sum                     | -1.788    |
| Biggest pos size            | 156.9     |
| Biggest pos cost            | 523.2     |
| Volume quote                | 17881.8   |
+-----------------------------+-----------+
