+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | AVAXUSDT  |
| No. days                    | 749.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0777%   |
| Final balance               | 1338.01   |
| Final equity                | 1333.02   |
| Net PNL + fees              | 338.009   |
| Total gain                  | 40.78%    |
| Average daily gain          | 0.0445%   |
| DG mean std ratio           | 0.04047   |
| Price action distance mean  | 0.0285038 |
| Price action distance std   | 0.0585075 |
| Price action distance max   | 1.27801   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.719     |
| Equity/balance ratio std    | 0.01859   |
| No. fills                   | 59723     |
| No. entries                 | 43475     |
| No. closes                  | 16248     |
| No. initial entries         | 15359     |
| No. reentries               | 28077     |
| No. unstuck entries         | 39        |
| No. unstuck closes          | 137       |
| No. normal closes           | 16111     |
| Average n fills per day     | 79.7      |
| Mean hours stuck            | 0.479737  |
| Max hours stuck             | 103.85    |
| PNL sum                     | 407.8     |
| Profit sum                  | 1308.0    |
| Loss sum                    | -900.5    |
| Fee sum                     | -69.84    |
| Biggest pos size            | 190.1     |
| Biggest pos cost            | 776.1     |
| Volume quote                | 698383.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.073%    |
| Final balance               | 1314.56   |
| Final equity                | 1314.56   |
| Net PNL + fees              | 314.559   |
| Total gain                  | 33.58%    |
| Average daily gain          | 0.0536%   |
| DG mean std ratio           | 0.02953   |
| Price action distance mean  | 0.0368289 |
| Price action distance std   | 0.0594927 |
| Price action distance max   | 0.392911  |
| Closest bankruptcy          | 82.67%    |
| Lowest equity/balance ratio | 0.6785    |
| Equity/balance ratio std    | 0.0263    |
| No. fills                   | 17306     |
| No. entries                 | 10013     |
| No. closes                  | 7293      |
| No. initial entries         | 7017      |
| No. reentries               | 2993      |
| No. unstuck entries         | 3         |
| No. unstuck closes          | 26        |
| No. normal closes           | 7267      |
| Average n fills per day     | 23.1      |
| Mean hours stuck            | 1.22886   |
| Max hours stuck             | 439.783   |
| PNL sum                     | 335.8     |
| Profit sum                  | 414.1     |
| Loss sum                    | -78.29    |
| Fee sum                     | -21.23    |
| Biggest pos size            | 144.8     |
| Biggest pos cost            | 643.5     |
| Volume quote                | 212348.0  |
+-----------------------------+-----------+
