+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | binance  |
| Market type                 | futures  |
| Symbol                      | LTCUSDT  |
| No. days                    | 1007.66  |
| Starting balance            | 1000.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.116%   |
| Final balance               | 2197.01  |
| Final equity                | 919.71   |
| Net PNL + fees              | 1197.01  |
| Total gain                  | 121.2%   |
| Average daily gain          | 0.0191%  |
| DG mean std ratio           | 0.008309 |
| Price action distance mean  | 1.40235  |
| Price action distance std   | 1.82884  |
| Price action distance max   | 7.83676  |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.3959   |
| Equity/balance ratio std    | 0.2176   |
| No. fills                   | 4101     |
| No. entries                 | 1705     |
| No. closes                  | 2396     |
| No. initial entries         | 1125     |
| No. reentries               | 580      |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 2396     |
| Average n fills per day     | 4.07     |
| Mean hours stuck            | 11.4021  |
| Max hours stuck             | 12439.3  |
| PNL sum                     | 1212.0   |
| Profit sum                  | 1212.0   |
| Loss sum                    | 0.0      |
| Fee sum                     | -15.31   |
| Biggest pos size            | 18.8     |
| Biggest pos cost            | 1496.0   |
| Volume quote                | 153103.0 |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | -4.2%    |
| Final balance               | 0.001    |
| Final equity                | 0.001    |
| Net PNL + fees              | -917.047 |
| Total gain                  | -91.33%  |
| Average daily gain          | -0.456%  |
| DG mean std ratio           | -0.04672 |
| Price action distance mean  | 0.139497 |
| Price action distance std   | 0.215982 |
| Price action distance max   | 0.738255 |
| Closest bankruptcy          | 5.931%   |
| Lowest equity/balance ratio | 0.0765   |
| Equity/balance ratio std    | 0.1189   |
| No. fills                   | 3398     |
| No. entries                 | 1517     |
| No. closes                  | 1880     |
| No. initial entries         | 1186     |
| No. reentries               | 331      |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 1880     |
| Average n fills per day     | 3.37     |
| Mean hours stuck            | 8.56975  |
| Max hours stuck             | 14551.8  |
| PNL sum                     | -913.3   |
| Profit sum                  | 120.3    |
| Loss sum                    | -1034.0  |
| Fee sum                     | -3.792   |
| Biggest pos size            | 9.4      |
| Biggest pos cost            | 365.9    |
| Volume quote                | 37556.7  |
+-----------------------------+----------+
