+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | binance  |
| Market type                 | futures  |
| Symbol                      | ADAUSDT  |
| No. days                    | 985.666  |
| Starting balance            | 1000.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.0907%  |
| Final balance               | 2253.8   |
| Final equity                | 1255.14  |
| Net PNL + fees              | 1253.8   |
| Total gain                  | 129.3%   |
| Average daily gain          | 0.0525%  |
| DG mean std ratio           | 0.02207  |
| Price action distance mean  | 0.144244 |
| Price action distance std   | 0.233548 |
| Price action distance max   | 0.972657 |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.5515   |
| Equity/balance ratio std    | 0.1162   |
| No. fills                   | 12411    |
| No. entries                 | 7939     |
| No. closes                  | 4472     |
| No. initial entries         | 4099     |
| No. reentries               | 3840     |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 4472     |
| Average n fills per day     | 12.6     |
| Mean hours stuck            | 2.10669  |
| Max hours stuck             | 3765.07  |
| PNL sum                     | 1293.0   |
| Profit sum                  | 1293.0   |
| Loss sum                    | 0.0      |
| Fee sum                     | -39.49   |
| Biggest pos size            | 27694.0  |
| Biggest pos cost            | 2050.0   |
| Volume quote                | 394948.0 |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | -15.3%   |
| Final balance               | 0.001    |
| Final equity                | 0.001    |
| Net PNL + fees              | -939.48  |
| Total gain                  | -93.94%  |
| Average daily gain          | -0.466%  |
| DG mean std ratio           | -0.07476 |
| Price action distance mean  | 0.36982  |
| Price action distance std   | 0.243399 |
| Price action distance max   | 0.9094   |
| Closest bankruptcy          | 5.846%   |
| Lowest equity/balance ratio | 0.0812   |
| Equity/balance ratio std    | 0.08935  |
| No. fills                   | 343      |
| No. entries                 | 229      |
| No. closes                  | 113      |
| No. initial entries         | 112      |
| No. reentries               | 117      |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 113      |
| Average n fills per day     | 0.348    |
| Mean hours stuck            | 71.039   |
| Max hours stuck             | 14639.6  |
| PNL sum                     | -939.4   |
| Profit sum                  | 4.027    |
| Loss sum                    | -943.4   |
| Fee sum                     | -0.08946 |
| Biggest pos size            | 2109.0   |
| Biggest pos cost            | 91.9     |
| Volume quote                | 802.698  |
+-----------------------------+----------+
