+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | AVAXUSDT  |
| No. days                    | 749.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0834%   |
| Final balance               | 1765.55   |
| Final equity                | 1765.32   |
| Net PNL + fees              | 765.552   |
| Total gain                  | 81.09%    |
| Average daily gain          | 0.0811%   |
| DG mean std ratio           | 0.07853   |
| Price action distance mean  | 0.0185474 |
| Price action distance std   | 0.0308675 |
| Price action distance max   | 0.355647  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7614    |
| Equity/balance ratio std    | 0.01618   |
| No. fills                   | 23425     |
| No. entries                 | 12897     |
| No. closes                  | 10528     |
| No. initial entries         | 10180     |
| No. reentries               | 2716      |
| No. unstuck entries         | 1         |
| No. unstuck closes          | 21        |
| No. normal closes           | 10507     |
| Average n fills per day     | 31.2      |
| Mean hours stuck            | 1.42327   |
| Max hours stuck             | 104.217   |
| PNL sum                     | 810.9     |
| Profit sum                  | 846.3     |
| Loss sum                    | -35.39    |
| Fee sum                     | -45.35    |
| Biggest pos size            | 185.3     |
| Biggest pos cost            | 1588.0    |
| Volume quote                | 453519.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -20.1%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -965.687  |
| Total gain                  | -96.4%    |
| Average daily gain          | -0.612%   |
| DG mean std ratio           | -0.05932  |
| Price action distance mean  | 0.413482  |
| Price action distance std   | 0.327006  |
| Price action distance max   | 0.916111  |
| Closest bankruptcy          | 5.989%    |
| Lowest equity/balance ratio | 0.08236   |
| Equity/balance ratio std    | 0.1412    |
| No. fills                   | 8162      |
| No. entries                 | 6640      |
| No. closes                  | 1521      |
| No. initial entries         | 1208      |
| No. reentries               | 5403      |
| No. unstuck entries         | 29        |
| No. unstuck closes          | 81        |
| No. normal closes           | 1440      |
| Average n fills per day     | 10.9      |
| Mean hours stuck            | 4.55981   |
| Max hours stuck             | 7809.82   |
| PNL sum                     | -964.0    |
| Profit sum                  | 36.72     |
| Loss sum                    | -1001.0   |
| Fee sum                     | -1.683    |
| Biggest pos size            | 25.8      |
| Biggest pos cost            | 92.94     |
| Volume quote                | 16787.5   |
+-----------------------------+-----------+
