+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | binance  |
| Market type                 | futures  |
| Symbol                      | DOTUSDT  |
| No. days                    | 781.708  |
| Starting balance            | 1000.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.144%   |
| Final balance               | 1757.7   |
| Final equity                | 1274.73  |
| Net PNL + fees              | 757.699  |
| Total gain                  | 79.39%   |
| Average daily gain          | 0.0383%  |
| DG mean std ratio           | 0.03196  |
| Price action distance mean  | 0.22625  |
| Price action distance std   | 0.361423 |
| Price action distance max   | 1.40145  |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.7081   |
| Equity/balance ratio std    | 0.08989  |
| No. fills                   | 27546    |
| No. entries                 | 21731    |
| No. closes                  | 5815     |
| No. initial entries         | 5650     |
| No. reentries               | 16066    |
| No. unstuck entries         | 15       |
| No. unstuck closes          | 145      |
| No. normal closes           | 5670     |
| Average n fills per day     | 35.2     |
| Mean hours stuck            | 0.985916 |
| Max hours stuck             | 1422.95  |
| PNL sum                     | 793.9    |
| Profit sum                  | 916.1    |
| Loss sum                    | -122.2   |
| Fee sum                     | -36.19   |
| Biggest pos size            | 88.5     |
| Biggest pos cost            | 936.1    |
| Volume quote                | 361854.0 |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | -3.5%    |
| Final balance               | 0.001    |
| Final equity                | 0.001    |
| Net PNL + fees              | -912.678 |
| Total gain                  | -91.06%  |
| Average daily gain          | -0.587%  |
| DG mean std ratio           | -0.04287 |
| Price action distance mean  | 0.055166 |
| Price action distance std   | 0.102852 |
| Price action distance max   | 0.644225 |
| Closest bankruptcy          | 5.854%   |
| Lowest equity/balance ratio | 0.1014   |
| Equity/balance ratio std    | 0.04298  |
| No. fills                   | 2088     |
| No. entries                 | 1151     |
| No. closes                  | 936      |
| No. initial entries         | 930      |
| No. reentries               | 221      |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 7        |
| No. normal closes           | 929      |
| Average n fills per day     | 2.67     |
| Mean hours stuck            | 30.5554  |
| Max hours stuck             | 15219.6  |
| PNL sum                     | -910.6   |
| Profit sum                  | 59.7     |
| Loss sum                    | -970.3   |
| Fee sum                     | -2.092   |
| Biggest pos size            | 80.3     |
| Biggest pos cost            | 528.6    |
| Volume quote                | 20391.9  |
+-----------------------------+----------+
