+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | AVAXUSDT  |
| No. days                    | 749.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.144%    |
| Final balance               | 1718.37   |
| Final equity                | 1249.32   |
| Net PNL + fees              | 718.371   |
| Total gain                  | 73.89%    |
| Average daily gain          | 0.0377%   |
| DG mean std ratio           | 0.03251   |
| Price action distance mean  | 0.196132  |
| Price action distance std   | 0.305851  |
| Price action distance max   | 1.54781   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6955    |
| Equity/balance ratio std    | 0.08164   |
| No. fills                   | 9116      |
| No. entries                 | 5636      |
| No. closes                  | 3480      |
| No. initial entries         | 3454      |
| No. reentries               | 2182      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 3480      |
| Average n fills per day     | 12.2      |
| Mean hours stuck            | 4.3896    |
| Max hours stuck             | 2920.05   |
| PNL sum                     | 738.9     |
| Profit sum                  | 738.9     |
| Loss sum                    | 0.0       |
| Fee sum                     | -20.5     |
| Biggest pos size            | 51.4      |
| Biggest pos cost            | 861.2     |
| Volume quote                | 204957.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -0.119%   |
| Final balance               | 639.033   |
| Final equity                | 639.033   |
| Net PNL + fees              | -360.967  |
| Total gain                  | -35.03%   |
| Average daily gain          | 0.0556%   |
| DG mean std ratio           | 0.0127    |
| Price action distance mean  | 0.0407814 |
| Price action distance std   | 0.0789823 |
| Price action distance max   | 0.631628  |
| Closest bankruptcy          | 10.27%    |
| Lowest equity/balance ratio | 0.1416    |
| Equity/balance ratio std    | 0.05924   |
| No. fills                   | 3754      |
| No. entries                 | 1829      |
| No. closes                  | 1925      |
| No. initial entries         | 1063      |
| No. reentries               | 547       |
| No. unstuck entries         | 219       |
| No. unstuck closes          | 40        |
| No. normal closes           | 1885      |
| Average n fills per day     | 5.01      |
| Mean hours stuck            | 7.49708   |
| Max hours stuck             | 174.083   |
| PNL sum                     | -350.3    |
| Profit sum                  | 810.3     |
| Loss sum                    | -1161.0   |
| Fee sum                     | -10.64    |
| Biggest pos size            | 160.5     |
| Biggest pos cost            | 571.8     |
| Volume quote                | 106375.0  |
+-----------------------------+-----------+
