+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | ADAUSDT   |
| No. days                    | 985.666   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.114%    |
| Final balance               | 1756.36   |
| Final equity                | 1755.42   |
| Net PNL + fees              | 756.363   |
| Total gain                  | 80.43%    |
| Average daily gain          | 0.0618%   |
| DG mean std ratio           | 0.06523   |
| Price action distance mean  | 0.015073  |
| Price action distance std   | 0.0377328 |
| Price action distance max   | 1.62005   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6908    |
| Equity/balance ratio std    | 0.01311   |
| No. fills                   | 41608     |
| No. entries                 | 23763     |
| No. closes                  | 17845     |
| No. initial entries         | 16589     |
| No. reentries               | 7167      |
| No. unstuck entries         | 7         |
| No. unstuck closes          | 73        |
| No. normal closes           | 17772     |
| Average n fills per day     | 42.2      |
| Mean hours stuck            | 1.73342   |
| Max hours stuck             | 531.283   |
| PNL sum                     | 804.3     |
| Profit sum                  | 954.6     |
| Loss sum                    | -150.3    |
| Fee sum                     | -47.93    |
| Biggest pos size            | 14636.0   |
| Biggest pos cost            | 878.0     |
| Volume quote                | 479278.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -0.0602%  |
| Final balance               | 743.323   |
| Final equity                | 743.265   |
| Net PNL + fees              | -256.677  |
| Total gain                  | -21.97%   |
| Average daily gain          | -0.0235%  |
| DG mean std ratio           | -0.02086  |
| Price action distance mean  | 0.0146682 |
| Price action distance std   | 0.0242963 |
| Price action distance max   | 0.335456  |
| Closest bankruptcy          | 98.25%    |
| Lowest equity/balance ratio | 0.7476    |
| Equity/balance ratio std    | 0.01477   |
| No. fills                   | 36958     |
| No. entries                 | 21959     |
| No. closes                  | 14999     |
| No. initial entries         | 12307     |
| No. reentries               | 9303      |
| No. unstuck entries         | 349       |
| No. unstuck closes          | 881       |
| No. normal closes           | 14118     |
| Average n fills per day     | 37.5      |
| Mean hours stuck            | 1.44191   |
| Max hours stuck             | 74.2      |
| PNL sum                     | -219.7    |
| Profit sum                  | 829.3     |
| Loss sum                    | -1049.0   |
| Fee sum                     | -36.99    |
| Biggest pos size            | 20761.0   |
| Biggest pos cost            | 539.9     |
| Volume quote                | 369875.0  |
+-----------------------------+-----------+
