+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | UNIUSDT   |
| No. days                    | 754.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0522%   |
| Final balance               | 1217.71   |
| Final equity                | 1215.76   |
| Net PNL + fees              | 217.712   |
| Total gain                  | 22.22%    |
| Average daily gain          | 0.0265%   |
| DG mean std ratio           | 0.07247   |
| Price action distance mean  | 0.0278913 |
| Price action distance std   | 0.0243631 |
| Price action distance max   | 0.619512  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8098    |
| Equity/balance ratio std    | 0.003951  |
| No. fills                   | 4464      |
| No. entries                 | 2435      |
| No. closes                  | 2029      |
| No. initial entries         | 1944      |
| No. reentries               | 491       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 11        |
| No. normal closes           | 2018      |
| Average n fills per day     | 5.91      |
| Mean hours stuck            | 7.54708   |
| Max hours stuck             | 324.683   |
| PNL sum                     | 222.2     |
| Profit sum                  | 222.2     |
| Loss sum                    | -0.00684  |
| Fee sum                     | -4.439    |
| Biggest pos size            | 253.7     |
| Biggest pos cost            | 604.2     |
| Volume quote                | 44386.1   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0336%   |
| Final balance               | 1135.18   |
| Final equity                | 1135.15   |
| Net PNL + fees              | 135.181   |
| Total gain                  | 13.86%    |
| Average daily gain          | 0.017%    |
| DG mean std ratio           | 0.07561   |
| Price action distance mean  | 0.0366194 |
| Price action distance std   | 0.0283777 |
| Price action distance max   | 0.153559  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9365    |
| Equity/balance ratio std    | 0.002064  |
| No. fills                   | 4716      |
| No. entries                 | 2590      |
| No. closes                  | 2126      |
| No. initial entries         | 2017      |
| No. reentries               | 573       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 2126      |
| Average n fills per day     | 6.25      |
| Mean hours stuck            | 7.12549   |
| Max hours stuck             | 210.517   |
| PNL sum                     | 138.6     |
| Profit sum                  | 138.6     |
| Loss sum                    | 0.0       |
| Fee sum                     | -3.446    |
| Biggest pos size            | 44.9      |
| Biggest pos cost            | 538.3     |
| Volume quote                | 34459.2   |
+-----------------------------+-----------+
