+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | binance  |
| Market type                 | futures  |
| Symbol                      | SOLUSDT  |
| No. days                    | 758.708  |
| Starting balance            | 1000.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.0843%  |
| Final balance               | 1788.55  |
| Final equity                | 489.708  |
| Net PNL + fees              | 788.55   |
| Total gain                  | 82.04%   |
| Average daily gain          | -0.0534% |
| DG mean std ratio           | -0.01887 |
| Price action distance mean  | 1.00317  |
| Price action distance std   | 1.42677  |
| Price action distance max   | 5.1279   |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.2437   |
| Equity/balance ratio std    | 0.2786   |
| No. fills                   | 13098    |
| No. entries                 | 7419     |
| No. closes                  | 5679     |
| No. initial entries         | 5614     |
| No. reentries               | 1805     |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 5679     |
| Average n fills per day     | 17.3     |
| Mean hours stuck            | 2.72264  |
| Max hours stuck             | 6692.6   |
| PNL sum                     | 820.4    |
| Profit sum                  | 820.4    |
| Loss sum                    | 0.0      |
| Fee sum                     | -31.84   |
| Biggest pos size            | 839.2    |
| Biggest pos cost            | 1616.0   |
| Volume quote                | 318408.0 |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | -19.8%   |
| Final balance               | 0.001    |
| Final equity                | 0.001    |
| Net PNL + fees              | -944.591 |
| Total gain                  | -94.41%  |
| Average daily gain          | -0.605%  |
| DG mean std ratio           | -0.02748 |
| Price action distance mean  | 0.486671 |
| Price action distance std   | 0.357928 |
| Price action distance max   | 0.909925 |
| Closest bankruptcy          | 5.986%   |
| Lowest equity/balance ratio | 0.07185  |
| Equity/balance ratio std    | 0.1693   |
| No. fills                   | 3091     |
| No. entries                 | 1918     |
| No. closes                  | 1172     |
| No. initial entries         | 1155     |
| No. reentries               | 761      |
| No. unstuck entries         | 2        |
| No. unstuck closes          | 12       |
| No. normal closes           | 1160     |
| Average n fills per day     | 4.07     |
| Mean hours stuck            | 9.14106  |
| Max hours stuck             | 10125.8  |
| PNL sum                     | -944.1   |
| Profit sum                  | 15.83    |
| Loss sum                    | -959.9   |
| Fee sum                     | -0.5336  |
| Biggest pos size            | 51.7     |
| Biggest pos cost            | 92.28    |
| Volume quote                | 5253.78  |
+-----------------------------+----------+
