+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | DOTUSDT   |
| No. days                    | 781.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.284%    |
| Final balance               | 3036.86   |
| Final equity                | 3032.18   |
| Net PNL + fees              | 2036.86   |
| Total gain                  | 213.0%    |
| Average daily gain          | 0.146%    |
| DG mean std ratio           | 0.1287    |
| Price action distance mean  | 0.0236883 |
| Price action distance std   | 0.0524826 |
| Price action distance max   | 0.974632  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7532    |
| Equity/balance ratio std    | 0.02101   |
| No. fills                   | 43815     |
| No. entries                 | 27855     |
| No. closes                  | 15960     |
| No. initial entries         | 15249     |
| No. reentries               | 12606     |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 15960     |
| Average n fills per day     | 56.1      |
| Mean hours stuck            | 0.94229   |
| Max hours stuck             | 430.367   |
| PNL sum                     | 2130.0    |
| Profit sum                  | 2130.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -92.67    |
| Biggest pos size            | 237.4     |
| Biggest pos cost            | 1503.0    |
| Volume quote                | 926678.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -3.5%     |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -899.107  |
| Total gain                  | -89.16%   |
| Average daily gain          | -0.587%   |
| DG mean std ratio           | -0.02869  |
| Price action distance mean  | 0.0857082 |
| Price action distance std   | 0.134593  |
| Price action distance max   | 0.643099  |
| Closest bankruptcy          | 5.992%    |
| Lowest equity/balance ratio | 0.1001    |
| Equity/balance ratio std    | 0.0604    |
| No. fills                   | 4315      |
| No. entries                 | 3298      |
| No. closes                  | 1016      |
| No. initial entries         | 979       |
| No. reentries               | 2319      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 1016      |
| Average n fills per day     | 5.52      |
| Mean hours stuck            | 7.06895   |
| Max hours stuck             | 15230.2   |
| PNL sum                     | -891.6    |
| Profit sum                  | 198.4     |
| Loss sum                    | -1090.0   |
| Fee sum                     | -7.461    |
| Biggest pos size            | 140.0     |
| Biggest pos cost            | 594.8     |
| Volume quote                | 74017.1   |
+-----------------------------+-----------+
