+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | ADAUSDT   |
| No. days                    | 985.666   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0476%   |
| Final balance               | 1264.16   |
| Final equity                | 915.836   |
| Net PNL + fees              | 264.162   |
| Total gain                  | 27.86%    |
| Average daily gain          | -0.00248% |
| DG mean std ratio           | -0.00222  |
| Price action distance mean  | 0.18504   |
| Price action distance std   | 0.314545  |
| Price action distance max   | 1.27802   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7219    |
| Equity/balance ratio std    | 0.07869   |
| No. fills                   | 15392     |
| No. entries                 | 8073      |
| No. closes                  | 7319      |
| No. initial entries         | 7150      |
| No. reentries               | 923       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 141       |
| No. normal closes           | 7178      |
| Average n fills per day     | 15.6      |
| Mean hours stuck            | 3.04414   |
| Max hours stuck             | 3668.95   |
| PNL sum                     | 278.6     |
| Profit sum                  | 281.7     |
| Loss sum                    | -3.059    |
| Fee sum                     | -14.47    |
| Biggest pos size            | 13875.0   |
| Biggest pos cost            | 633.5     |
| Volume quote                | 144662.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0192%   |
| Final balance               | 1099.05   |
| Final equity                | 1099.03   |
| Net PNL + fees              | 99.0469   |
| Total gain                  | 10.97%    |
| Average daily gain          | 0.0116%   |
| DG mean std ratio           | 0.01833   |
| Price action distance mean  | 0.0275718 |
| Price action distance std   | 0.0242178 |
| Price action distance max   | 0.216507  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8618    |
| Equity/balance ratio std    | 0.01128   |
| No. fills                   | 17026     |
| No. entries                 | 8656      |
| No. closes                  | 8370      |
| No. initial entries         | 7823      |
| No. reentries               | 819       |
| No. unstuck entries         | 14        |
| No. unstuck closes          | 545       |
| No. normal closes           | 7825      |
| Average n fills per day     | 17.3      |
| Mean hours stuck            | 2.70509   |
| Max hours stuck             | 142.1     |
| PNL sum                     | 109.7     |
| Profit sum                  | 148.5     |
| Loss sum                    | -38.81    |
| Fee sum                     | -10.7     |
| Biggest pos size            | 11112.0   |
| Biggest pos cost            | 544.1     |
| Volume quote                | 106954.0  |
+-----------------------------+-----------+
