+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | LTCUSDT   |
| No. days                    | 1007.66   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0561%   |
| Final balance               | 1326.5    |
| Final equity                | 801.372   |
| Net PNL + fees              | 326.496   |
| Total gain                  | 34.3%     |
| Average daily gain          | -0.0124%  |
| DG mean std ratio           | -0.009067 |
| Price action distance mean  | 1.07115   |
| Price action distance std   | 1.51713   |
| Price action distance max   | 6.49601   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.5854    |
| Equity/balance ratio std    | 0.153     |
| No. fills                   | 10605     |
| No. entries                 | 5965      |
| No. closes                  | 4640      |
| No. initial entries         | 4209      |
| No. reentries               | 1738      |
| No. unstuck entries         | 18        |
| No. unstuck closes          | 53        |
| No. normal closes           | 4587      |
| Average n fills per day     | 10.5      |
| Mean hours stuck            | 7.67254   |
| Max hours stuck             | 12276.6   |
| PNL sum                     | 343.0     |
| Profit sum                  | 394.1     |
| Loss sum                    | -51.04    |
| Fee sum                     | -16.55    |
| Biggest pos size            | 11.9      |
| Biggest pos cost            | 634.7     |
| Volume quote                | 165522.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -2.72%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -925.64   |
| Total gain                  | -92.11%   |
| Average daily gain          | -0.456%   |
| DG mean std ratio           | -0.04538  |
| Price action distance mean  | 0.128758  |
| Price action distance std   | 0.190396  |
| Price action distance max   | 0.667168  |
| Closest bankruptcy          | 5.99%     |
| Lowest equity/balance ratio | 0.08812   |
| Equity/balance ratio std    | 0.1357    |
| No. fills                   | 4402      |
| No. entries                 | 2446      |
| No. closes                  | 1955      |
| No. initial entries         | 1864      |
| No. reentries               | 578       |
| No. unstuck entries         | 4         |
| No. unstuck closes          | 11        |
| No. normal closes           | 1944      |
| Average n fills per day     | 4.37      |
| Mean hours stuck            | 17.9939   |
| Max hours stuck             | 13064.0   |
| PNL sum                     | -921.1    |
| Profit sum                  | 109.6     |
| Loss sum                    | -1031.0   |
| Fee sum                     | -4.585    |
| Biggest pos size            | 10.1      |
| Biggest pos cost            | 564.9     |
| Volume quote                | 45439.5   |
+-----------------------------+-----------+
