+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | ADAUSDT   |
| No. days                    | 985.666   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.00488%  |
| Final balance               | 1024.32   |
| Final equity                | 1020.2    |
| Net PNL + fees              | 24.3182   |
| Total gain                  | 2.542%    |
| Average daily gain          | 0.00203%  |
| DG mean std ratio           | 0.07264   |
| Price action distance mean  | 0.73369   |
| Price action distance std   | 0.89735   |
| Price action distance max   | 3.65393   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9869    |
| Equity/balance ratio std    | 0.001204  |
| No. fills                   | 2044      |
| No. entries                 | 1035      |
| No. closes                  | 1009      |
| No. initial entries         | 1010      |
| No. reentries               | 25        |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 1009      |
| Average n fills per day     | 2.07      |
| Mean hours stuck            | 24.4633   |
| Max hours stuck             | 7546.75   |
| PNL sum                     | 25.42     |
| Profit sum                  | 25.42     |
| Loss sum                    | 0.0       |
| Fee sum                     | -1.105    |
| Biggest pos size            | 96.0      |
| Biggest pos cost            | 82.32     |
| Volume quote                | 11048.6   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.000761% |
| Final balance               | 1003.76   |
| Final equity                | 948.915   |
| Net PNL + fees              | 3.75523   |
| Total gain                  | 0.386%    |
| Average daily gain          | 0.00453%  |
| DG mean std ratio           | 0.003228  |
| Price action distance mean  | 0.826388  |
| Price action distance std   | 0.245981  |
| Price action distance max   | 0.989715  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.5199    |
| Equity/balance ratio std    | 0.113     |
| No. fills                   | 216       |
| No. entries                 | 141       |
| No. closes                  | 75        |
| No. initial entries         | 76        |
| No. reentries               | 65        |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 75        |
| Average n fills per day     | 0.219     |
| Mean hours stuck            | 134.409   |
| Max hours stuck             | 21834.5   |
| PNL sum                     | 3.86      |
| Profit sum                  | 3.86      |
| Loss sum                    | 0.0       |
| Fee sum                     | -0.1047   |
| Biggest pos size            | 727.0     |
| Biggest pos cost            | 21.92     |
| Volume quote                | 1046.86   |
+-----------------------------+-----------+
