+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | binance  |
| Market type                 | futures  |
| Symbol                      | ADAUSDT  |
| No. days                    | 985.666  |
| Starting balance            | 1000.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.156%   |
| Final balance               | 4047.81  |
| Final equity                | 1896.25  |
| Net PNL + fees              | 3047.81  |
| Total gain                  | 307.2%   |
| Average daily gain          | 0.104%   |
| DG mean std ratio           | 0.03805  |
| Price action distance mean  | 0.175338 |
| Price action distance std   | 0.324519 |
| Price action distance max   | 1.43884  |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.4641   |
| Equity/balance ratio std    | 0.155    |
| No. fills                   | 3342     |
| No. entries                 | 2080     |
| No. closes                  | 1262     |
| No. initial entries         | 920      |
| No. reentries               | 1160     |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 1262     |
| Average n fills per day     | 3.39     |
| Mean hours stuck            | 10.3076  |
| Max hours stuck             | 4060.43  |
| PNL sum                     | 3072.0   |
| Profit sum                  | 3072.0   |
| Loss sum                    | 0.0      |
| Fee sum                     | -24.62   |
| Biggest pos size            | 24895.0  |
| Biggest pos cost            | 3677.0   |
| Volume quote                | 246211.0 |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | -15.2%   |
| Final balance               | 0.001    |
| Final equity                | 0.001    |
| Net PNL + fees              | -937.576 |
| Total gain                  | -93.75%  |
| Average daily gain          | -0.466%  |
| DG mean std ratio           | -0.05263 |
| Price action distance mean  | 0.491127 |
| Price action distance std   | 0.284231 |
| Price action distance max   | 0.910981 |
| Closest bankruptcy          | 5.977%   |
| Lowest equity/balance ratio | 0.06387  |
| Equity/balance ratio std    | 0.135    |
| No. fills                   | 260      |
| No. entries                 | 194      |
| No. closes                  | 65       |
| No. initial entries         | 36       |
| No. reentries               | 158      |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 65       |
| Average n fills per day     | 0.264    |
| Mean hours stuck            | 106.081  |
| Max hours stuck             | 14759.1  |
| PNL sum                     | -937.5   |
| Profit sum                  | 14.3     |
| Loss sum                    | -951.8   |
| Fee sum                     | -0.1148  |
| Biggest pos size            | 3073.0   |
| Biggest pos cost            | 92.78    |
| Volume quote                | 1055.22  |
+-----------------------------+----------+
