+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | LTCUSDT   |
| No. days                    | 1007.66   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0366%   |
| Final balance               | 1202.41   |
| Final equity                | 757.751   |
| Net PNL + fees              | 202.405   |
| Total gain                  | 22.55%    |
| Average daily gain          | -0.018%   |
| DG mean std ratio           | -0.01329  |
| Price action distance mean  | 1.05925   |
| Price action distance std   | 1.49569   |
| Price action distance max   | 6.42088   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6124    |
| Equity/balance ratio std    | 0.1413    |
| No. fills                   | 12538     |
| No. entries                 | 7631      |
| No. closes                  | 4907      |
| No. initial entries         | 4828      |
| No. reentries               | 2779      |
| No. unstuck entries         | 24        |
| No. unstuck closes          | 60        |
| No. normal closes           | 4847      |
| Average n fills per day     | 12.4      |
| Mean hours stuck            | 5.29883   |
| Max hours stuck             | 12274.3   |
| PNL sum                     | 225.5     |
| Profit sum                  | 480.4     |
| Loss sum                    | -254.9    |
| Fee sum                     | -23.07    |
| Biggest pos size            | 12.5      |
| Biggest pos cost            | 641.7     |
| Volume quote                | 230698.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0394%   |
| Final balance               | 1219.63   |
| Final equity                | 1219.45   |
| Net PNL + fees              | 219.628   |
| Total gain                  | 22.92%    |
| Average daily gain          | 0.0265%   |
| DG mean std ratio           | 0.02248   |
| Price action distance mean  | 0.0436075 |
| Price action distance std   | 0.043317  |
| Price action distance max   | 0.374212  |
| Closest bankruptcy          | 85.77%    |
| Lowest equity/balance ratio | 0.6976    |
| Equity/balance ratio std    | 0.028     |
| No. fills                   | 5748      |
| No. entries                 | 3075      |
| No. closes                  | 2673      |
| No. initial entries         | 2650      |
| No. reentries               | 422       |
| No. unstuck entries         | 3         |
| No. unstuck closes          | 10        |
| No. normal closes           | 2663      |
| Average n fills per day     | 5.7       |
| Mean hours stuck            | 7.79873   |
| Max hours stuck             | 395.85    |
| PNL sum                     | 229.2     |
| Profit sum                  | 256.7     |
| Loss sum                    | -27.47    |
| Fee sum                     | -9.572    |
| Biggest pos size            | 9.2       |
| Biggest pos cost            | 581.9     |
| Volume quote                | 95715.8   |
+-----------------------------+-----------+
