+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | binance  |
| Market type                 | futures  |
| Symbol                      | UNIUSDT  |
| No. days                    | 754.708  |
| Starting balance            | 1000.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.00718% |
| Final balance               | 1027.47  |
| Final equity                | 1023.56  |
| Net PNL + fees              | 27.4688  |
| Total gain                  | 2.861%   |
| Average daily gain          | 0.00313% |
| DG mean std ratio           | 0.03463  |
| Price action distance mean  | 0.898814 |
| Price action distance std   | 0.898948 |
| Price action distance max   | 4.69964  |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.9199   |
| Equity/balance ratio std    | 0.002308 |
| No. fills                   | 1729     |
| No. entries                 | 931      |
| No. closes                  | 798      |
| No. initial entries         | 795      |
| No. reentries               | 136      |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 798      |
| Average n fills per day     | 2.29     |
| Mean hours stuck            | 12.3807  |
| Max hours stuck             | 6724.9   |
| PNL sum                     | 28.61    |
| Profit sum                  | 28.61    |
| Loss sum                    | 0.0      |
| Fee sum                     | -1.138   |
| Biggest pos size            | 22.5     |
| Biggest pos cost            | 517.0    |
| Volume quote                | 11384.2  |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | 0.00175% |
| Final balance               | 1006.64  |
| Final equity                | 961.075  |
| Net PNL + fees              | 6.63957  |
| Total gain                  | 0.6841%  |
| Average daily gain          | 0.0202%  |
| DG mean std ratio           | 0.008904 |
| Price action distance mean  | 0.726351 |
| Price action distance std   | 0.223899 |
| Price action distance max   | 0.946445 |
| Closest bankruptcy          | 84.03%   |
| Lowest equity/balance ratio | 0.4707   |
| Equity/balance ratio std    | 0.1278   |
| No. fills                   | 469      |
| No. entries                 | 314      |
| No. closes                  | 155      |
| No. initial entries         | 156      |
| No. reentries               | 158      |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 155      |
| Average n fills per day     | 0.621    |
| Mean hours stuck            | 56.4268  |
| Max hours stuck             | 16933.8  |
| PNL sum                     | 6.841    |
| Profit sum                  | 6.841    |
| Loss sum                    | 0.0      |
| Fee sum                     | -0.2018  |
| Biggest pos size            | 12.5     |
| Biggest pos cost            | 30.15    |
| Volume quote                | 2018.44  |
+-----------------------------+----------+
