+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | DOTUSDT   |
| No. days                    | 781.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.144%    |
| Final balance               | 1755.66   |
| Final equity                | 1266.78   |
| Net PNL + fees              | 755.656   |
| Total gain                  | 79.99%    |
| Average daily gain          | 0.0364%   |
| DG mean std ratio           | 0.03253   |
| Price action distance mean  | 0.249876  |
| Price action distance std   | 0.3908    |
| Price action distance max   | 1.32199   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7142    |
| Equity/balance ratio std    | 0.08909   |
| No. fills                   | 25603     |
| No. entries                 | 14135     |
| No. closes                  | 11468     |
| No. initial entries         | 11334     |
| No. reentries               | 2801      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 11468     |
| Average n fills per day     | 32.8      |
| Mean hours stuck            | 0.887381  |
| Max hours stuck             | 3789.72   |
| PNL sum                     | 799.9     |
| Profit sum                  | 799.9     |
| Loss sum                    | 0.0       |
| Fee sum                     | -44.23    |
| Biggest pos size            | 129.1     |
| Biggest pos cost            | 881.3     |
| Volume quote                | 442341.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.083%    |
| Final balance               | 1383.03   |
| Final equity                | 1383.01   |
| Net PNL + fees              | 383.032   |
| Total gain                  | 39.95%    |
| Average daily gain          | 0.0451%   |
| DG mean std ratio           | 0.05313   |
| Price action distance mean  | 0.0209358 |
| Price action distance std   | 0.0397199 |
| Price action distance max   | 0.295928  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.789     |
| Equity/balance ratio std    | 0.02201   |
| No. fills                   | 14366     |
| No. entries                 | 8096      |
| No. closes                  | 6270      |
| No. initial entries         | 5882      |
| No. reentries               | 2214      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 6270      |
| Average n fills per day     | 18.4      |
| Mean hours stuck            | 2.01039   |
| Max hours stuck             | 808.217   |
| PNL sum                     | 399.5     |
| Profit sum                  | 399.5     |
| Loss sum                    | 0.0       |
| Fee sum                     | -16.43    |
| Biggest pos size            | 121.4     |
| Biggest pos cost            | 682.6     |
| Volume quote                | 164251.0  |
+-----------------------------+-----------+
