+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | MATICUSDT |
| No. days                    | 720.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.198%    |
| Final balance               | 2039.88   |
| Final equity                | 2034.12   |
| Net PNL + fees              | 1039.88   |
| Total gain                  | 109.9%    |
| Average daily gain          | 0.109%    |
| DG mean std ratio           | 0.07563   |
| Price action distance mean  | 0.154066  |
| Price action distance std   | 0.334873  |
| Price action distance max   | 2.28474   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6528    |
| Equity/balance ratio std    | 0.0685    |
| No. fills                   | 29309     |
| No. entries                 | 16245     |
| No. closes                  | 13064     |
| No. initial entries         | 12839     |
| No. reentries               | 3406      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 13064     |
| Average n fills per day     | 40.7      |
| Mean hours stuck            | 0.780867  |
| Max hours stuck             | 2360.9    |
| PNL sum                     | 1099.0    |
| Profit sum                  | 1099.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -58.87    |
| Biggest pos size            | 32247.0   |
| Biggest pos cost            | 1003.0    |
| Volume quote                | 588727.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -3.8%     |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -916.62   |
| Total gain                  | -91.65%   |
| Average daily gain          | -0.637%   |
| DG mean std ratio           | -0.05927  |
| Price action distance mean  | 0.220645  |
| Price action distance std   | 0.101533  |
| Price action distance max   | 0.64335   |
| Closest bankruptcy          | 5.878%    |
| Lowest equity/balance ratio | 0.09804   |
| Equity/balance ratio std    | 0.05301   |
| No. fills                   | 79        |
| No. entries                 | 46        |
| No. closes                  | 32        |
| No. initial entries         | 33        |
| No. reentries               | 13        |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 32        |
| Average n fills per day     | 0.11      |
| Mean hours stuck            | 230.626   |
| Max hours stuck             | 15455.1   |
| PNL sum                     | -916.5    |
| Profit sum                  | 1.889     |
| Loss sum                    | -918.4    |
| Fee sum                     | -0.141    |
| Biggest pos size            | 36059.0   |
| Biggest pos cost            | 500.9     |
| Volume quote                | 908.736   |
+-----------------------------+-----------+
