+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | DOTUSDT   |
| No. days                    | 781.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.253%    |
| Final balance               | 6015.65   |
| Final equity                | 2891.08   |
| Net PNL + fees              | 5015.65   |
| Total gain                  | 528.3%    |
| Average daily gain          | 0.177%    |
| DG mean std ratio           | 0.05915   |
| Price action distance mean  | 0.20519   |
| Price action distance std   | 0.365138  |
| Price action distance max   | 1.41215   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.4678    |
| Equity/balance ratio std    | 0.1667    |
| No. fills                   | 42871     |
| No. entries                 | 25497     |
| No. closes                  | 17374     |
| No. initial entries         | 16289     |
| No. reentries               | 9208      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 17374     |
| Average n fills per day     | 54.8      |
| Mean hours stuck            | 1.1448    |
| Max hours stuck             | 3794.12   |
| PNL sum                     | 5283.0    |
| Profit sum                  | 5283.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -267.7    |
| Biggest pos size            | 379.9     |
| Biggest pos cost            | 5471.0    |
| Volume quote                | 2677270.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0302%   |
| Final balance               | 1021.66   |
| Final equity                | 1016.13   |
| Net PNL + fees              | 21.6582   |
| Total gain                  | 2.265%    |
| Average daily gain          | 0.106%    |
| DG mean std ratio           | 0.02281   |
| Price action distance mean  | 0.526293  |
| Price action distance std   | 0.310377  |
| Price action distance max   | 0.894158  |
| Closest bankruptcy          | 26.27%    |
| Lowest equity/balance ratio | 0.2293    |
| Equity/balance ratio std    | 0.194     |
| No. fills                   | 5804      |
| No. entries                 | 4479      |
| No. closes                  | 1325      |
| No. initial entries         | 1320      |
| No. reentries               | 3159      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 1325      |
| Average n fills per day     | 7.42      |
| Mean hours stuck            | 5.35417   |
| Max hours stuck             | 15681.4   |
| PNL sum                     | 22.65     |
| Profit sum                  | 22.65     |
| Loss sum                    | 0.0       |
| Fee sum                     | -0.9964   |
| Biggest pos size            | 22.3      |
| Biggest pos cost            | 93.21     |
| Volume quote                | 9963.55   |
+-----------------------------+-----------+
