+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | XRPUSDT   |
| No. days                    | 1010.65   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.124%    |
| Final balance               | 1866.2    |
| Final equity                | 1865.98   |
| Net PNL + fees              | 866.203   |
| Total gain                  | 91.64%    |
| Average daily gain          | 0.0717%   |
| DG mean std ratio           | 0.05107   |
| Price action distance mean  | 0.164491  |
| Price action distance std   | 0.291236  |
| Price action distance max   | 1.60106   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6924    |
| Equity/balance ratio std    | 0.07134   |
| No. fills                   | 30148     |
| No. entries                 | 17816     |
| No. closes                  | 12332     |
| No. initial entries         | 11892     |
| No. reentries               | 5924      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 12332     |
| Average n fills per day     | 29.8      |
| Mean hours stuck            | 1.56852   |
| Max hours stuck             | 3759.33   |
| PNL sum                     | 916.4     |
| Profit sum                  | 916.4     |
| Loss sum                    | 0.0       |
| Fee sum                     | -50.23    |
| Biggest pos size            | 3265.0    |
| Biggest pos cost            | 927.0     |
| Volume quote                | 502332.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -2.72%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -888.521  |
| Total gain                  | -87.3%    |
| Average daily gain          | -0.455%   |
| DG mean std ratio           | -0.02642  |
| Price action distance mean  | 0.0510204 |
| Price action distance std   | 0.123685  |
| Price action distance max   | 0.645095  |
| Closest bankruptcy          | 5.994%    |
| Lowest equity/balance ratio | 0.09125   |
| Equity/balance ratio std    | 0.07951   |
| No. fills                   | 13597     |
| No. entries                 | 9147      |
| No. closes                  | 4449      |
| No. initial entries         | 4447      |
| No. reentries               | 4700      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 4449      |
| Average n fills per day     | 13.5      |
| Mean hours stuck            | 3.13259   |
| Max hours stuck             | 13136.1   |
| PNL sum                     | -873.0    |
| Profit sum                  | 330.4     |
| Loss sum                    | -1203.0   |
| Fee sum                     | -15.53    |
| Biggest pos size            | 3235.0    |
| Biggest pos cost            | 657.4     |
| Volume quote                | 154600.0  |
+-----------------------------+-----------+
