+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | DOTUSDT   |
| No. days                    | 781.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.119%    |
| Final balance               | 1589.4    |
| Final equity                | 1586.02   |
| Net PNL + fees              | 589.403   |
| Total gain                  | 71.15%    |
| Average daily gain          | 0.0646%   |
| DG mean std ratio           | 0.06084   |
| Price action distance mean  | 0.0112636 |
| Price action distance std   | 0.0201538 |
| Price action distance max   | 0.974171  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7525    |
| Equity/balance ratio std    | 0.008313  |
| No. fills                   | 34237     |
| No. entries                 | 17645     |
| No. closes                  | 16592     |
| No. initial entries         | 11403     |
| No. reentries               | 4887      |
| No. unstuck entries         | 1355      |
| No. unstuck closes          | 3517      |
| No. normal closes           | 13075     |
| Average n fills per day     | 43.8      |
| Mean hours stuck            | 1.02749   |
| Max hours stuck             | 47.8333   |
| PNL sum                     | 711.5     |
| Profit sum                  | 2505.0    |
| Loss sum                    | -1793.0   |
| Fee sum                     | -122.1    |
| Biggest pos size            | 152.1     |
| Biggest pos cost            | 1026.0    |
| Volume quote                | 1220530.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -3.5%     |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -907.404  |
| Total gain                  | -90.09%   |
| Average daily gain          | -0.587%   |
| DG mean std ratio           | -0.03543  |
| Price action distance mean  | 0.0921734 |
| Price action distance std   | 0.140245  |
| Price action distance max   | 0.644962  |
| Closest bankruptcy          | 5.948%    |
| Lowest equity/balance ratio | 0.08997   |
| Equity/balance ratio std    | 0.05781   |
| No. fills                   | 2040      |
| No. entries                 | 1153      |
| No. closes                  | 886       |
| No. initial entries         | 832       |
| No. reentries               | 312       |
| No. unstuck entries         | 9         |
| No. unstuck closes          | 39        |
| No. normal closes           | 847       |
| Average n fills per day     | 2.61      |
| Mean hours stuck            | 16.0625   |
| Max hours stuck             | 15229.5   |
| PNL sum                     | -900.9    |
| Profit sum                  | 153.6     |
| Loss sum                    | -1055.0   |
| Fee sum                     | -6.463    |
| Biggest pos size            | 126.0     |
| Biggest pos cost            | 566.9     |
| Volume quote                | 64081.9   |
+-----------------------------+-----------+
