+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | MATICUSDT |
| No. days                    | 720.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.252%    |
| Final balance               | 5195.55   |
| Final equity                | 3722.16   |
| Net PNL + fees              | 4195.55   |
| Total gain                  | 436.9%    |
| Average daily gain          | 0.231%    |
| DG mean std ratio           | 0.07376   |
| Price action distance mean  | 0.17112   |
| Price action distance std   | 0.335826  |
| Price action distance max   | 2.57374   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.3455    |
| Equity/balance ratio std    | 0.1448    |
| No. fills                   | 34547     |
| No. entries                 | 22644     |
| No. closes                  | 11903     |
| No. initial entries         | 11558     |
| No. reentries               | 11086     |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 11903     |
| Average n fills per day     | 47.9      |
| Mean hours stuck            | 0.930996  |
| Max hours stuck             | 3789.08   |
| PNL sum                     | 4369.0    |
| Profit sum                  | 4369.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -173.0    |
| Biggest pos size            | 67195.0   |
| Biggest pos cost            | 4722.0    |
| Volume quote                | 1730120.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -0.241%   |
| Final balance               | 854.153   |
| Final equity                | 842.657   |
| Net PNL + fees              | -145.847  |
| Total gain                  | -14.36%   |
| Average daily gain          | -0.0076%  |
| DG mean std ratio           | -0.004204 |
| Price action distance mean  | 0.318421  |
| Price action distance std   | 0.241445  |
| Price action distance max   | 0.826156  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.5694    |
| Equity/balance ratio std    | 0.06236   |
| No. fills                   | 10536     |
| No. entries                 | 6056      |
| No. closes                  | 4480      |
| No. initial entries         | 4171      |
| No. reentries               | 1845      |
| No. unstuck entries         | 40        |
| No. unstuck closes          | 125       |
| No. normal closes           | 4355      |
| Average n fills per day     | 14.6      |
| Mean hours stuck            | 3.90892   |
| Max hours stuck             | 1227.75   |
| PNL sum                     | -143.6    |
| Profit sum                  | 61.53     |
| Loss sum                    | -205.1    |
| Fee sum                     | -2.235    |
| Biggest pos size            | 5925.0    |
| Biggest pos cost            | 95.84     |
| Volume quote                | 22350.0   |
+-----------------------------+-----------+
