+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | UNIUSDT   |
| No. days                    | 754.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.102%    |
| Final balance               | 1467.54   |
| Final equity                | 1462.25   |
| Net PNL + fees              | 467.541   |
| Total gain                  | 55.2%     |
| Average daily gain          | 0.0598%   |
| DG mean std ratio           | 0.04321   |
| Price action distance mean  | 0.0179904 |
| Price action distance std   | 0.0275727 |
| Price action distance max   | 0.88756   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7642    |
| Equity/balance ratio std    | 0.01145   |
| No. fills                   | 26473     |
| No. entries                 | 9474      |
| No. closes                  | 16999     |
| No. initial entries         | 5309      |
| No. reentries               | 1562      |
| No. unstuck entries         | 2603      |
| No. unstuck closes          | 7743      |
| No. normal closes           | 9256      |
| Average n fills per day     | 35.1      |
| Mean hours stuck            | 1.49029   |
| Max hours stuck             | 75.9667   |
| PNL sum                     | 552.0     |
| Profit sum                  | 2496.0    |
| Loss sum                    | -1944.0   |
| Fee sum                     | -84.45    |
| Biggest pos size            | 258.4     |
| Biggest pos cost            | 850.3     |
| Volume quote                | 844465.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -3.63%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -950.367  |
| Total gain                  | -94.76%   |
| Average daily gain          | -0.608%   |
| DG mean std ratio           | -0.02839  |
| Price action distance mean  | 0.242143  |
| Price action distance std   | 0.241031  |
| Price action distance max   | 0.644674  |
| Closest bankruptcy          | 5.983%    |
| Lowest equity/balance ratio | 0.08566   |
| Equity/balance ratio std    | 0.1847    |
| No. fills                   | 3429      |
| No. entries                 | 1839      |
| No. closes                  | 1589      |
| No. initial entries         | 1470      |
| No. reentries               | 351       |
| No. unstuck entries         | 18        |
| No. unstuck closes          | 85        |
| No. normal closes           | 1504      |
| Average n fills per day     | 4.54      |
| Mean hours stuck            | 15.3111   |
| Max hours stuck             | 12779.7   |
| PNL sum                     | -947.6    |
| Profit sum                  | 55.1      |
| Loss sum                    | -1003.0   |
| Fee sum                     | -2.726    |
| Biggest pos size            | 88.4      |
| Biggest pos cost            | 527.7     |
| Volume quote                | 26961.2   |
+-----------------------------+-----------+
