+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | BNBUSDT   |
| No. days                    | 975.666   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0464%   |
| Final balance               | 1254.18   |
| Final equity                | 1254.15   |
| Net PNL + fees              | 254.176   |
| Total gain                  | 33.82%    |
| Average daily gain          | 0.0297%   |
| DG mean std ratio           | 0.02706   |
| Price action distance mean  | 0.011361  |
| Price action distance std   | 0.0259485 |
| Price action distance max   | 1.43829   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7051    |
| Equity/balance ratio std    | 0.008479  |
| No. fills                   | 36458     |
| No. entries                 | 19712     |
| No. closes                  | 16746     |
| No. initial entries         | 14087     |
| No. reentries               | 5284      |
| No. unstuck entries         | 341       |
| No. unstuck closes          | 514       |
| No. normal closes           | 16232     |
| Average n fills per day     | 37.4      |
| Mean hours stuck            | 2.07148   |
| Max hours stuck             | 98.7333   |
| PNL sum                     | 338.2     |
| Profit sum                  | 1686.0    |
| Loss sum                    | -1347.0   |
| Fee sum                     | -84.02    |
| Biggest pos size            | 42.32     |
| Biggest pos cost            | 741.7     |
| Volume quote                | 840183.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -2.81%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -921.11   |
| Total gain                  | -91.87%   |
| Average daily gain          | -0.471%   |
| DG mean std ratio           | -0.04669  |
| Price action distance mean  | 0.0302937 |
| Price action distance std   | 0.0625495 |
| Price action distance max   | 0.640728  |
| Closest bankruptcy          | 5.836%    |
| Lowest equity/balance ratio | 0.1082    |
| Equity/balance ratio std    | 0.03004   |
| No. fills                   | 2128      |
| No. entries                 | 1205      |
| No. closes                  | 922       |
| No. initial entries         | 912       |
| No. reentries               | 288       |
| No. unstuck entries         | 5         |
| No. unstuck closes          | 5         |
| No. normal closes           | 917       |
| Average n fills per day     | 2.18      |
| Mean hours stuck            | 15.1756   |
| Max hours stuck             | 14410.2   |
| PNL sum                     | -918.7    |
| Profit sum                  | 69.29     |
| Loss sum                    | -988.0    |
| Fee sum                     | -2.412    |
| Biggest pos size            | 40.05     |
| Biggest pos cost            | 533.7     |
| Volume quote                | 23642.1   |
+-----------------------------+-----------+
