+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | TRXUSDT   |
| No. days                    | 1001.66   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0704%   |
| Final balance               | 1422.68   |
| Final equity                | 1422.41   |
| Net PNL + fees              | 422.675   |
| Total gain                  | 43.11%    |
| Average daily gain          | 0.0416%   |
| DG mean std ratio           | 0.03721   |
| Price action distance mean  | 0.057749  |
| Price action distance std   | 0.135557  |
| Price action distance max   | 1.07865   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7405    |
| Equity/balance ratio std    | 0.04247   |
| No. fills                   | 5873      |
| No. entries                 | 3265      |
| No. closes                  | 2608      |
| No. initial entries         | 2384      |
| No. reentries               | 879       |
| No. unstuck entries         | 2         |
| No. unstuck closes          | 208       |
| No. normal closes           | 2400      |
| Average n fills per day     | 5.86      |
| Mean hours stuck            | 7.18897   |
| Max hours stuck             | 1282.67   |
| PNL sum                     | 431.1     |
| Profit sum                  | 477.2     |
| Loss sum                    | -46.04    |
| Fee sum                     | -8.467    |
| Biggest pos size            | 40245.0   |
| Biggest pos cost            | 703.8     |
| Volume quote                | 84674.1   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0594%   |
| Final balance               | 1346.63   |
| Final equity                | 1346.1    |
| Net PNL + fees              | 346.628   |
| Total gain                  | 35.19%    |
| Average daily gain          | 0.0899%   |
| DG mean std ratio           | 0.02579   |
| Price action distance mean  | 0.0895082 |
| Price action distance std   | 0.123468  |
| Price action distance max   | 0.590891  |
| Closest bankruptcy          | 22.62%    |
| Lowest equity/balance ratio | 0.2778    |
| Equity/balance ratio std    | 0.1052    |
| No. fills                   | 3817      |
| No. entries                 | 2389      |
| No. closes                  | 1428      |
| No. initial entries         | 883       |
| No. reentries               | 1504      |
| No. unstuck entries         | 2         |
| No. unstuck closes          | 467       |
| No. normal closes           | 961       |
| Average n fills per day     | 3.81      |
| Mean hours stuck            | 8.32984   |
| Max hours stuck             | 2917.33   |
| PNL sum                     | 351.9     |
| Profit sum                  | 407.2     |
| Loss sum                    | -55.28    |
| Fee sum                     | -5.27     |
| Biggest pos size            | 23487.0   |
| Biggest pos cost            | 622.2     |
| Volume quote                | 52696.6   |
+-----------------------------+-----------+
