+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | AVAXUSDT  |
| No. days                    | 749.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.167%    |
| Final balance               | 2306.42   |
| Final equity                | 1759.14   |
| Net PNL + fees              | 1306.42   |
| Total gain                  | 137.8%    |
| Average daily gain          | 0.089%    |
| DG mean std ratio           | 0.05417   |
| Price action distance mean  | 0.089568  |
| Price action distance std   | 0.146873  |
| Price action distance max   | 0.868856  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6898    |
| Equity/balance ratio std    | 0.06388   |
| No. fills                   | 40947     |
| No. entries                 | 27906     |
| No. closes                  | 13041     |
| No. initial entries         | 12403     |
| No. reentries               | 15491     |
| No. unstuck entries         | 12        |
| No. unstuck closes          | 20        |
| No. normal closes           | 13021     |
| Average n fills per day     | 54.6      |
| Mean hours stuck            | 0.797739  |
| Max hours stuck             | 1320.67   |
| PNL sum                     | 1378.0    |
| Profit sum                  | 1638.0    |
| Loss sum                    | -260.0    |
| Fee sum                     | -72.0     |
| Biggest pos size            | 236.2     |
| Biggest pos cost            | 1537.0    |
| Volume quote                | 720030.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -5.48%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -951.582  |
| Total gain                  | -94.85%   |
| Average daily gain          | -0.612%   |
| DG mean std ratio           | -0.07136  |
| Price action distance mean  | 0.0894803 |
| Price action distance std   | 0.145892  |
| Price action distance max   | 0.723836  |
| Closest bankruptcy          | 5.707%    |
| Lowest equity/balance ratio | 0.1245    |
| Equity/balance ratio std    | 0.04509   |
| No. fills                   | 3964      |
| No. entries                 | 2506      |
| No. closes                  | 1457      |
| No. initial entries         | 1364      |
| No. reentries               | 1123      |
| No. unstuck entries         | 19        |
| No. unstuck closes          | 79        |
| No. normal closes           | 1378      |
| Average n fills per day     | 5.29      |
| Mean hours stuck            | 9.35187   |
| Max hours stuck             | 14638.2   |
| PNL sum                     | -948.5    |
| Profit sum                  | 76.41     |
| Loss sum                    | -1025.0   |
| Fee sum                     | -3.034    |
| Biggest pos size            | 103.3     |
| Biggest pos cost            | 353.4     |
| Volume quote                | 30112.0   |
+-----------------------------+-----------+
