+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | MATICUSDT |
| No. days                    | 720.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.159%    |
| Final balance               | 2147.35   |
| Final equity                | 2142.41   |
| Net PNL + fees              | 1147.35   |
| Total gain                  | 122.0%    |
| Average daily gain          | 0.119%    |
| DG mean std ratio           | 0.07235   |
| Price action distance mean  | 0.0620258 |
| Price action distance std   | 0.141532  |
| Price action distance max   | 1.20679   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6354    |
| Equity/balance ratio std    | 0.04975   |
| No. fills                   | 39921     |
| No. entries                 | 27220     |
| No. closes                  | 12701     |
| No. initial entries         | 12106     |
| No. reentries               | 15111     |
| No. unstuck entries         | 3         |
| No. unstuck closes          | 56        |
| No. normal closes           | 12645     |
| Average n fills per day     | 55.4      |
| Mean hours stuck            | 0.764508  |
| Max hours stuck             | 743.733   |
| PNL sum                     | 1220.0    |
| Profit sum                  | 1702.0    |
| Loss sum                    | -481.5    |
| Fee sum                     | -72.96    |
| Biggest pos size            | 44582.0   |
| Biggest pos cost            | 1618.0    |
| Volume quote                | 729572.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -0.327%   |
| Final balance               | 456.001   |
| Final equity                | 456.003   |
| Net PNL + fees              | -543.999  |
| Total gain                  | -52.79%   |
| Average daily gain          | -0.0792%  |
| DG mean std ratio           | -0.03352  |
| Price action distance mean  | 0.0459866 |
| Price action distance std   | 0.0815418 |
| Price action distance max   | 0.583757  |
| Closest bankruptcy          | 65.89%    |
| Lowest equity/balance ratio | 0.5323    |
| Equity/balance ratio std    | 0.04111   |
| No. fills                   | 32193     |
| No. entries                 | 19328     |
| No. closes                  | 12865     |
| No. initial entries         | 10965     |
| No. reentries               | 8259      |
| No. unstuck entries         | 104       |
| No. unstuck closes          | 1077      |
| No. normal closes           | 11788     |
| Average n fills per day     | 44.7      |
| Mean hours stuck            | 1.15045   |
| Max hours stuck             | 161.1     |
| PNL sum                     | -527.9    |
| Profit sum                  | 390.7     |
| Loss sum                    | -918.6    |
| Fee sum                     | -16.13    |
| Biggest pos size            | 23967.0   |
| Biggest pos cost            | 367.7     |
| Volume quote                | 161270.0  |
+-----------------------------+-----------+
