+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | binance  |
| Market type                 | futures  |
| Symbol                      | XRPUSDT  |
| No. days                    | 1010.65  |
| Starting balance            | 1000.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.131%   |
| Final balance               | 2511.87  |
| Final equity                | 2499.51  |
| Net PNL + fees              | 1511.87  |
| Total gain                  | 159.6%   |
| Average daily gain          | 0.12%    |
| DG mean std ratio           | 0.04953  |
| Price action distance mean  | 0.155203 |
| Price action distance std   | 0.294462 |
| Price action distance max   | 1.57145  |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.5755   |
| Equity/balance ratio std    | 0.09642  |
| No. fills                   | 34972    |
| No. entries                 | 25889    |
| No. closes                  | 9083     |
| No. initial entries         | 8505     |
| No. reentries               | 17384    |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 9083     |
| Average n fills per day     | 34.6     |
| Mean hours stuck            | 1.05003  |
| Max hours stuck             | 2102.22  |
| PNL sum                     | 1596.0   |
| Profit sum                  | 1596.0   |
| Loss sum                    | 0.0      |
| Fee sum                     | -83.89   |
| Biggest pos size            | 5056.0   |
| Biggest pos cost            | 1619.0   |
| Volume quote                | 838928.0 |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | 0.105%   |
| Final balance               | 1384.04  |
| Final equity                | 1384.02  |
| Net PNL + fees              | 384.04   |
| Total gain                  | 40.01%   |
| Average daily gain          | 0.0789%  |
| DG mean std ratio           | 0.02545  |
| Price action distance mean  | 0.064081 |
| Price action distance std   | 0.139302 |
| Price action distance max   | 0.677635 |
| Closest bankruptcy          | 37.35%   |
| Lowest equity/balance ratio | 0.3568   |
| Equity/balance ratio std    | 0.0903   |
| No. fills                   | 19206    |
| No. entries                 | 11211    |
| No. closes                  | 7995     |
| No. initial entries         | 7500     |
| No. reentries               | 3711     |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 7995     |
| Average n fills per day     | 19.0     |
| Mean hours stuck            | 3.14559  |
| Max hours stuck             | 1868.12  |
| PNL sum                     | 400.1    |
| Profit sum                  | 400.1    |
| Loss sum                    | 0.0      |
| Fee sum                     | -16.07   |
| Biggest pos size            | 2242.0   |
| Biggest pos cost            | 421.3    |
| Volume quote                | 160739.0 |
+-----------------------------+----------+
