+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | SOLUSDT   |
| No. days                    | 758.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.254%    |
| Final balance               | 5761.9    |
| Final equity                | 4576.51   |
| Net PNL + fees              | 4761.9    |
| Total gain                  | 492.9%    |
| Average daily gain          | 0.216%    |
| DG mean std ratio           | 0.1241    |
| Price action distance mean  | 0.0335461 |
| Price action distance std   | 0.0573666 |
| Price action distance max   | 0.42704   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7275    |
| Equity/balance ratio std    | 0.04372   |
| No. fills                   | 18867     |
| No. entries                 | 10743     |
| No. closes                  | 8124      |
| No. initial entries         | 7607      |
| No. reentries               | 3136      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 8124      |
| Average n fills per day     | 24.9      |
| Mean hours stuck            | 2.03771   |
| Max hours stuck             | 1319.8    |
| PNL sum                     | 4929.0    |
| Profit sum                  | 4929.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -167.5    |
| Biggest pos size            | 985.4     |
| Biggest pos cost            | 5239.0    |
| Volume quote                | 1675460.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -19.8%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -939.227  |
| Total gain                  | -93.9%    |
| Average daily gain          | -0.605%   |
| DG mean std ratio           | -0.009217 |
| Price action distance mean  | 0.474941  |
| Price action distance std   | 0.364153  |
| Price action distance max   | 0.910659  |
| Closest bankruptcy          | 5.724%    |
| Lowest equity/balance ratio | 0.07227   |
| Equity/balance ratio std    | 0.1919    |
| No. fills                   | 422       |
| No. entries                 | 218       |
| No. closes                  | 203       |
| No. initial entries         | 109       |
| No. reentries               | 109       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 203       |
| Average n fills per day     | 0.556     |
| Mean hours stuck            | 53.2427   |
| Max hours stuck             | 10147.7   |
| PNL sum                     | -939.0    |
| Profit sum                  | 29.13     |
| Loss sum                    | -968.2    |
| Fee sum                     | -0.1918   |
| Biggest pos size            | 52.4      |
| Biggest pos cost            | 93.65     |
| Volume quote                | 1824.46   |
+-----------------------------+-----------+
