+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | DOTUSDT   |
| No. days                    | 781.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.164%    |
| Final balance               | 1899.52   |
| Final equity                | 1897.25   |
| Net PNL + fees              | 899.521   |
| Total gain                  | 93.8%     |
| Average daily gain          | 0.0845%   |
| DG mean std ratio           | 0.1007    |
| Price action distance mean  | 0.0331092 |
| Price action distance std   | 0.0558586 |
| Price action distance max   | 0.550442  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8226    |
| Equity/balance ratio std    | 0.01561   |
| No. fills                   | 26240     |
| No. entries                 | 14873     |
| No. closes                  | 11367     |
| No. initial entries         | 10855     |
| No. reentries               | 4017      |
| No. unstuck entries         | 1         |
| No. unstuck closes          | 19        |
| No. normal closes           | 11348     |
| Average n fills per day     | 33.6      |
| Mean hours stuck            | 2.37872   |
| Max hours stuck             | 752.783   |
| PNL sum                     | 938.0     |
| Profit sum                  | 968.5     |
| Loss sum                    | -30.45    |
| Fee sum                     | -38.48    |
| Biggest pos size            | 120.5     |
| Biggest pos cost            | 928.8     |
| Volume quote                | 384833.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -3.5%     |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -913.508  |
| Total gain                  | -91.08%   |
| Average daily gain          | -0.587%   |
| DG mean std ratio           | -0.06525  |
| Price action distance mean  | 0.104854  |
| Price action distance std   | 0.159668  |
| Price action distance max   | 0.652359  |
| Closest bankruptcy          | 5.967%    |
| Lowest equity/balance ratio | 0.08621   |
| Equity/balance ratio std    | 0.08888   |
| No. fills                   | 3439      |
| No. entries                 | 2168      |
| No. closes                  | 1270      |
| No. initial entries         | 1246      |
| No. reentries               | 921       |
| No. unstuck entries         | 1         |
| No. unstuck closes          | 17        |
| No. normal closes           | 1253      |
| Average n fills per day     | 4.4       |
| Mean hours stuck            | 9.74597   |
| Max hours stuck             | 14468.8   |
| PNL sum                     | -910.8    |
| Profit sum                  | 66.81     |
| Loss sum                    | -977.6    |
| Fee sum                     | -2.722    |
| Biggest pos size            | 93.4      |
| Biggest pos cost            | 531.9     |
| Volume quote                | 26714.6   |
+-----------------------------+-----------+
