+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | MATICUSDT |
| No. days                    | 720.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.131%    |
| Final balance               | 2361.42   |
| Final equity                | 2346.83   |
| Net PNL + fees              | 1361.42   |
| Total gain                  | 155.9%    |
| Average daily gain          | 0.145%    |
| DG mean std ratio           | 0.06334   |
| Price action distance mean  | 0.0275499 |
| Price action distance std   | 0.0416572 |
| Price action distance max   | 0.756784  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6084    |
| Equity/balance ratio std    | 0.028     |
| No. fills                   | 47966     |
| No. entries                 | 26872     |
| No. closes                  | 21094     |
| No. initial entries         | 15001     |
| No. reentries               | 11785     |
| No. unstuck entries         | 86        |
| No. unstuck closes          | 4297      |
| No. normal closes           | 16797     |
| Average n fills per day     | 66.6      |
| Mean hours stuck            | 0.785477  |
| Max hours stuck             | 426.333   |
| PNL sum                     | 1559.0    |
| Profit sum                  | 4816.0    |
| Loss sum                    | -3258.0   |
| Fee sum                     | -197.5    |
| Biggest pos size            | 65121.0   |
| Biggest pos cost            | 4099.0    |
| Volume quote                | 1974680.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.053%    |
| Final balance               | 1035.3    |
| Final equity                | 1035.3    |
| Net PNL + fees              | 35.3044   |
| Total gain                  | 3.733%    |
| Average daily gain          | 0.00535%  |
| DG mean std ratio           | 0.0163    |
| Price action distance mean  | 0.0516327 |
| Price action distance std   | 0.0656429 |
| Price action distance max   | 0.478042  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9168    |
| Equity/balance ratio std    | 0.00789   |
| No. fills                   | 11501     |
| No. entries                 | 6449      |
| No. closes                  | 5052      |
| No. initial entries         | 4921      |
| No. reentries               | 1521      |
| No. unstuck entries         | 7         |
| No. unstuck closes          | 47        |
| No. normal closes           | 5005      |
| Average n fills per day     | 16.0      |
| Mean hours stuck            | 3.00974   |
| Max hours stuck             | 752.833   |
| PNL sum                     | 37.33     |
| Profit sum                  | 54.64     |
| Loss sum                    | -17.32    |
| Fee sum                     | -2.025    |
| Biggest pos size            | 2635.0    |
| Biggest pos cost            | 96.6      |
| Volume quote                | 20248.3   |
+-----------------------------+-----------+
