+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | binance  |
| Market type                 | futures  |
| Symbol                      | LTCUSDT  |
| No. days                    | 1007.66  |
| Starting balance            | 1000.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.101%   |
| Final balance               | 2513.33  |
| Final equity                | 547.668  |
| Net PNL + fees              | 1513.33  |
| Total gain                  | 160.6%   |
| Average daily gain          | 0.0147%  |
| DG mean std ratio           | 0.003899 |
| Price action distance mean  | 1.3746   |
| Price action distance std   | 1.78224  |
| Price action distance max   | 7.68072  |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.1868   |
| Equity/balance ratio std    | 0.2847   |
| No. fills                   | 22745    |
| No. entries                 | 13018    |
| No. closes                  | 9727     |
| No. initial entries         | 8766     |
| No. reentries               | 4252     |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 9727     |
| Average n fills per day     | 22.6     |
| Mean hours stuck            | 2.43103  |
| Max hours stuck             | 12433.8  |
| PNL sum                     | 1606.0   |
| Profit sum                  | 1606.0   |
| Loss sum                    | 0.0      |
| Fee sum                     | -92.47   |
| Biggest pos size            | 20.6     |
| Biggest pos cost            | 2310.0   |
| Volume quote                | 924697.0 |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | 0.0555%  |
| Final balance               | 1052.11  |
| Final equity                | 1035.55  |
| Net PNL + fees              | 52.1067  |
| Total gain                  | 5.472%   |
| Average daily gain          | 0.0325%  |
| DG mean std ratio           | 0.01311  |
| Price action distance mean  | 0.415499 |
| Price action distance std   | 0.281604 |
| Price action distance max   | 0.879085 |
| Closest bankruptcy          | 44.59%   |
| Lowest equity/balance ratio | 0.3377   |
| Equity/balance ratio std    | 0.1185   |
| No. fills                   | 4330     |
| No. entries                 | 3086     |
| No. closes                  | 1244     |
| No. initial entries         | 1245     |
| No. reentries               | 1841     |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 1244     |
| Average n fills per day     | 4.3      |
| Mean hours stuck            | 10.5193  |
| Max hours stuck             | 14364.7  |
| PNL sum                     | 54.72    |
| Profit sum                  | 54.72    |
| Loss sum                    | 0.0      |
| Fee sum                     | -2.612   |
| Biggest pos size            | 2.9      |
| Biggest pos cost            | 105.7    |
| Volume quote                | 26122.9  |
+-----------------------------+----------+
