+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | UNIUSDT   |
| No. days                    | 754.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.139%    |
| Final balance               | 2600.5    |
| Final equity                | 2166.77   |
| Net PNL + fees              | 1600.5    |
| Total gain                  | 165.3%    |
| Average daily gain          | 0.144%    |
| DG mean std ratio           | 0.04947   |
| Price action distance mean  | 0.110265  |
| Price action distance std   | 0.225604  |
| Price action distance max   | 1.64911   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.4343    |
| Equity/balance ratio std    | 0.1152    |
| No. fills                   | 13519     |
| No. entries                 | 7540      |
| No. closes                  | 5979      |
| No. initial entries         | 5493      |
| No. reentries               | 2047      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 5979      |
| Average n fills per day     | 17.9      |
| Mean hours stuck            | 3.98      |
| Max hours stuck             | 2227.17   |
| PNL sum                     | 1653.0    |
| Profit sum                  | 1653.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -52.83    |
| Biggest pos size            | 445.6     |
| Biggest pos cost            | 2364.0    |
| Volume quote                | 528329.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.173%    |
| Final balance               | 1126.06   |
| Final equity                | 1086.06   |
| Net PNL + fees              | 126.057   |
| Total gain                  | 12.72%    |
| Average daily gain          | 0.0117%   |
| DG mean std ratio           | 0.03015   |
| Price action distance mean  | 0.0825345 |
| Price action distance std   | 0.130024  |
| Price action distance max   | 0.554009  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8871    |
| Equity/balance ratio std    | 0.01999   |
| No. fills                   | 2669      |
| No. entries                 | 1367      |
| No. closes                  | 1302      |
| No. initial entries         | 798       |
| No. reentries               | 569       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 1302      |
| Average n fills per day     | 3.54      |
| Mean hours stuck            | 8.07535   |
| Max hours stuck             | 2729.87   |
| PNL sum                     | 127.2     |
| Profit sum                  | 127.2     |
| Loss sum                    | 0.0       |
| Fee sum                     | -1.193    |
| Biggest pos size            | 40.7      |
| Biggest pos cost            | 102.3     |
| Volume quote                | 11925.7   |
+-----------------------------+-----------+
