+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | binance  |
| Market type                 | futures  |
| Symbol                      | LTCUSDT  |
| No. days                    | 1007.66  |
| Starting balance            | 1000.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.0884%  |
| Final balance               | 2207.01  |
| Final equity                | 866.926  |
| Net PNL + fees              | 1207.01  |
| Total gain                  | 122.3%   |
| Average daily gain          | 0.0401%  |
| DG mean std ratio           | 0.01238  |
| Price action distance mean  | 0.509624 |
| Price action distance std   | 0.704761 |
| Price action distance max   | 3.26167  |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.3326   |
| Equity/balance ratio std    | 0.205    |
| No. fills                   | 3469     |
| No. entries                 | 2188     |
| No. closes                  | 1281     |
| No. initial entries         | 1120     |
| No. reentries               | 1068     |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 1281     |
| Average n fills per day     | 3.44     |
| Mean hours stuck            | 13.503   |
| Max hours stuck             | 7506.93  |
| PNL sum                     | 1223.0   |
| Profit sum                  | 1223.0   |
| Loss sum                    | 0.0      |
| Fee sum                     | -16.41   |
| Biggest pos size            | 19.9     |
| Biggest pos cost            | 1925.0   |
| Volume quote                | 164080.0 |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | 0.0475%  |
| Final balance               | 1054.64  |
| Final equity                | 1050.19  |
| Net PNL + fees              | 54.635   |
| Total gain                  | 5.525%   |
| Average daily gain          | 0.0527%  |
| DG mean std ratio           | 0.01635  |
| Price action distance mean  | 0.39617  |
| Price action distance std   | 0.282835 |
| Price action distance max   | 0.873787 |
| Closest bankruptcy          | 27.6%    |
| Lowest equity/balance ratio | 0.2414   |
| Equity/balance ratio std    | 0.1375   |
| No. fills                   | 902      |
| No. entries                 | 670      |
| No. closes                  | 232      |
| No. initial entries         | 112      |
| No. reentries               | 558      |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 232      |
| Average n fills per day     | 0.895    |
| Mean hours stuck            | 39.2595  |
| Max hours stuck             | 13959.6  |
| PNL sum                     | 55.25    |
| Profit sum                  | 55.25    |
| Loss sum                    | 0.0      |
| Fee sum                     | -0.619   |
| Biggest pos size            | 2.2      |
| Biggest pos cost            | 114.7    |
| Volume quote                | 6189.61  |
+-----------------------------+----------+
