+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | binance  |
| Market type                 | futures  |
| Symbol                      | ADAUSDT  |
| No. days                    | 985.666  |
| Starting balance            | 1000.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.175%   |
| Final balance               | 4783.03  |
| Final equity                | 2598.33  |
| Net PNL + fees              | 3783.03  |
| Total gain                  | 386.1%   |
| Average daily gain          | 0.138%   |
| DG mean std ratio           | 0.04952  |
| Price action distance mean  | 0.141559 |
| Price action distance std   | 0.248912 |
| Price action distance max   | 1.98247  |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.3957   |
| Equity/balance ratio std    | 0.1371   |
| No. fills                   | 11272    |
| No. entries                 | 7028     |
| No. closes                  | 4244     |
| No. initial entries         | 3592     |
| No. reentries               | 3436     |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 4244     |
| Average n fills per day     | 11.4     |
| Mean hours stuck            | 3.61934  |
| Max hours stuck             | 3789.9   |
| PNL sum                     | 3861.0   |
| Profit sum                  | 3861.0   |
| Loss sum                    | 0.0      |
| Fee sum                     | -77.59   |
| Biggest pos size            | 21189.0  |
| Biggest pos cost            | 4346.0   |
| Volume quote                | 775851.0 |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | -15.3%   |
| Final balance               | 0.001    |
| Final equity                | 0.001    |
| Net PNL + fees              | -937.7   |
| Total gain                  | -93.76%  |
| Average daily gain          | -0.466%  |
| DG mean std ratio           | -0.04896 |
| Price action distance mean  | 0.539051 |
| Price action distance std   | 0.26877  |
| Price action distance max   | 0.911178 |
| Closest bankruptcy          | 5.991%   |
| Lowest equity/balance ratio | 0.07081  |
| Equity/balance ratio std    | 0.1215   |
| No. fills                   | 117      |
| No. entries                 | 69       |
| No. closes                  | 47       |
| No. initial entries         | 13       |
| No. reentries               | 56       |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 47       |
| Average n fills per day     | 0.119    |
| Mean hours stuck            | 225.295  |
| Max hours stuck             | 15193.8  |
| PNL sum                     | -937.6   |
| Profit sum                  | 10.82    |
| Loss sum                    | -948.5   |
| Fee sum                     | -0.06994 |
| Biggest pos size            | 2639.0   |
| Biggest pos cost            | 91.55    |
| Volume quote                | 607.85   |
+-----------------------------+----------+
