+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | MATICUSDT |
| No. days                    | 720.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0958%   |
| Final balance               | 1412.19   |
| Final equity                | 1407.79   |
| Net PNL + fees              | 412.186   |
| Total gain                  | 48.98%    |
| Average daily gain          | 0.0533%   |
| DG mean std ratio           | 0.04997   |
| Price action distance mean  | 0.0302888 |
| Price action distance std   | 0.0542683 |
| Price action distance max   | 0.87453   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7668    |
| Equity/balance ratio std    | 0.01541   |
| No. fills                   | 38381     |
| No. entries                 | 22429     |
| No. closes                  | 15952     |
| No. initial entries         | 13061     |
| No. reentries               | 9251      |
| No. unstuck entries         | 117       |
| No. unstuck closes          | 325       |
| No. normal closes           | 15627     |
| Average n fills per day     | 53.3      |
| Mean hours stuck            | 0.768789  |
| Max hours stuck             | 192.5     |
| PNL sum                     | 489.8     |
| Profit sum                  | 1361.0    |
| Loss sum                    | -871.1    |
| Fee sum                     | -77.59    |
| Biggest pos size            | 32298.0   |
| Biggest pos cost            | 930.7     |
| Volume quote                | 775937.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -0.153%   |
| Final balance               | 576.315   |
| Final equity                | 524.948   |
| Net PNL + fees              | -423.685  |
| Total gain                  | -41.01%   |
| Average daily gain          | -0.0264%  |
| DG mean std ratio           | -0.00772  |
| Price action distance mean  | 0.058114  |
| Price action distance std   | 0.0926326 |
| Price action distance max   | 0.53682   |
| Closest bankruptcy          | 38.49%    |
| Lowest equity/balance ratio | 0.4204    |
| Equity/balance ratio std    | 0.07117   |
| No. fills                   | 21603     |
| No. entries                 | 12582     |
| No. closes                  | 9021      |
| No. initial entries         | 8395      |
| No. reentries               | 4162      |
| No. unstuck entries         | 25        |
| No. unstuck closes          | 74        |
| No. normal closes           | 8947      |
| Average n fills per day     | 30.0      |
| Mean hours stuck            | 1.95402   |
| Max hours stuck             | 2166.5    |
| PNL sum                     | -410.1    |
| Profit sum                  | 366.3     |
| Loss sum                    | -776.4    |
| Fee sum                     | -13.63    |
| Biggest pos size            | 21470.0   |
| Biggest pos cost            | 573.7     |
| Volume quote                | 136286.0  |
+-----------------------------+-----------+
