+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | binance  |
| Market type                 | futures  |
| Symbol                      | UNIUSDT  |
| No. days                    | 754.708  |
| Starting balance            | 1000.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.00337% |
| Final balance               | 1012.79  |
| Final equity                | 1005.8   |
| Net PNL + fees              | 12.7882  |
| Total gain                  | 1.305%   |
| Average daily gain          | 0.00077% |
| DG mean std ratio           | 0.02695  |
| Price action distance mean  | 2.27735  |
| Price action distance std   | 2.31808  |
| Price action distance max   | 11.2522  |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.9926   |
| Equity/balance ratio std    | 0.002381 |
| No. fills                   | 341      |
| No. entries                 | 171      |
| No. closes                  | 170      |
| No. initial entries         | 171      |
| No. reentries               | 0        |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 170      |
| Average n fills per day     | 0.452    |
| Mean hours stuck            | 53.5888  |
| Max hours stuck             | 12377.8  |
| PNL sum                     | 13.05    |
| Profit sum                  | 13.05    |
| Loss sum                    | 0.0      |
| Fee sum                     | -0.2599  |
| Biggest pos size            | 1.6      |
| Biggest pos cost            | 8.669    |
| Volume quote                | 2598.7   |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | 0.0421%  |
| Final balance               | 1172.27  |
| Final equity                | 1089.43  |
| Net PNL + fees              | 172.273  |
| Total gain                  | 17.55%   |
| Average daily gain          | 0.0147%  |
| DG mean std ratio           | 0.01806  |
| Price action distance mean  | 0.117844 |
| Price action distance std   | 0.103717 |
| Price action distance max   | 0.530141 |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.7509   |
| Equity/balance ratio std    | 0.04213  |
| No. fills                   | 2734     |
| No. entries                 | 1616     |
| No. closes                  | 1118     |
| No. initial entries         | 785      |
| No. reentries               | 831      |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 1118     |
| Average n fills per day     | 3.62     |
| Mean hours stuck            | 12.8826  |
| Max hours stuck             | 2722.02  |
| PNL sum                     | 175.5    |
| Profit sum                  | 175.5    |
| Loss sum                    | 0.0      |
| Fee sum                     | -3.274   |
| Biggest pos size            | 93.9     |
| Biggest pos cost            | 258.8    |
| Volume quote                | 32744.2  |
+-----------------------------+----------+
