+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | BNBUSDT   |
| No. days                    | 975.666   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0888%   |
| Final balance               | 1850.44   |
| Final equity                | 1847.05   |
| Net PNL + fees              | 850.445   |
| Total gain                  | 86.28%    |
| Average daily gain          | 0.0725%   |
| DG mean std ratio           | 0.05469   |
| Price action distance mean  | 0.0257576 |
| Price action distance std   | 0.0581368 |
| Price action distance max   | 1.48966   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.575     |
| Equity/balance ratio std    | 0.02904   |
| No. fills                   | 4792      |
| No. entries                 | 2615      |
| No. closes                  | 2177      |
| No. initial entries         | 1812      |
| No. reentries               | 803       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 2177      |
| Average n fills per day     | 4.91      |
| Mean hours stuck            | 13.0306   |
| Max hours stuck             | 788.7     |
| PNL sum                     | 862.8     |
| Profit sum                  | 862.8     |
| Loss sum                    | 0.0       |
| Fee sum                     | -12.38    |
| Biggest pos size            | 46.48     |
| Biggest pos cost            | 1247.0    |
| Volume quote                | 123791.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -4.85%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -923.397  |
| Total gain                  | -92.28%   |
| Average daily gain          | -0.471%   |
| DG mean std ratio           | -0.06258  |
| Price action distance mean  | 0.0479562 |
| Price action distance std   | 0.101171  |
| Price action distance max   | 0.759636  |
| Closest bankruptcy          | 5.874%    |
| Lowest equity/balance ratio | 0.08567   |
| Equity/balance ratio std    | 0.05214   |
| No. fills                   | 637       |
| No. entries                 | 416       |
| No. closes                  | 220       |
| No. initial entries         | 183       |
| No. reentries               | 233       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 220       |
| Average n fills per day     | 0.653     |
| Mean hours stuck            | 49.2968   |
| Max hours stuck             | 14423.5   |
| PNL sum                     | -922.8    |
| Profit sum                  | 71.88     |
| Loss sum                    | -994.6    |
| Fee sum                     | -0.6401   |
| Biggest pos size            | 25.49     |
| Biggest pos cost            | 309.9     |
| Volume quote                | 6090.58   |
+-----------------------------+-----------+
