+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | AVAXUSDT  |
| No. days                    | 749.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.164%    |
| Final balance               | 3055.27   |
| Final equity                | 2898.69   |
| Net PNL + fees              | 2055.27   |
| Total gain                  | 215.0%    |
| Average daily gain          | 0.151%    |
| DG mean std ratio           | 0.1137    |
| Price action distance mean  | 0.0308721 |
| Price action distance std   | 0.0355836 |
| Price action distance max   | 0.622375  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6524    |
| Equity/balance ratio std    | 0.01592   |
| No. fills                   | 33000     |
| No. entries                 | 20573     |
| No. closes                  | 12427     |
| No. initial entries         | 12252     |
| No. reentries               | 8320      |
| No. unstuck entries         | 1         |
| No. unstuck closes          | 11        |
| No. normal closes           | 12416     |
| Average n fills per day     | 44.0      |
| Mean hours stuck            | 1.17801   |
| Max hours stuck             | 582.717   |
| PNL sum                     | 2150.0    |
| Profit sum                  | 2150.0    |
| Loss sum                    | -0.4458   |
| Fee sum                     | -94.29    |
| Biggest pos size            | 143.1     |
| Biggest pos cost            | 2746.0    |
| Volume quote                | 942896.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0509%   |
| Final balance               | 1035.3    |
| Final equity                | 1035.3    |
| Net PNL + fees              | 35.2978   |
| Total gain                  | 3.773%    |
| Average daily gain          | 0.00545%  |
| DG mean std ratio           | 0.01345   |
| Price action distance mean  | 0.0963685 |
| Price action distance std   | 0.120755  |
| Price action distance max   | 0.518247  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9025    |
| Equity/balance ratio std    | 0.01037   |
| No. fills                   | 6874      |
| No. entries                 | 3837      |
| No. closes                  | 3037      |
| No. initial entries         | 2715      |
| No. reentries               | 1117      |
| No. unstuck entries         | 5         |
| No. unstuck closes          | 12        |
| No. normal closes           | 3025      |
| Average n fills per day     | 9.17      |
| Mean hours stuck            | 3.76738   |
| Max hours stuck             | 1793.6    |
| PNL sum                     | 37.73     |
| Profit sum                  | 61.54     |
| Loss sum                    | -23.81    |
| Fee sum                     | -2.43     |
| Biggest pos size            | 14.2      |
| Biggest pos cost            | 101.6     |
| Volume quote                | 24296.3   |
+-----------------------------+-----------+
