+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | DOGEUSDT  |
| No. days                    | 824.625   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.136%    |
| Final balance               | 2769.05   |
| Final equity                | 2519.1    |
| Net PNL + fees              | 1769.05   |
| Total gain                  | 184.0%    |
| Average daily gain          | 0.119%    |
| DG mean std ratio           | 0.09755   |
| Price action distance mean  | 0.0379351 |
| Price action distance std   | 0.0472802 |
| Price action distance max   | 0.764395  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6061    |
| Equity/balance ratio std    | 0.02317   |
| No. fills                   | 24061     |
| No. entries                 | 15328     |
| No. closes                  | 8733      |
| No. initial entries         | 8647      |
| No. reentries               | 6681      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 8733      |
| Average n fills per day     | 29.2      |
| Mean hours stuck            | 1.49524   |
| Max hours stuck             | 1767.42   |
| PNL sum                     | 1840.0    |
| Profit sum                  | 1840.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -70.48    |
| Biggest pos size            | 192215.0  |
| Biggest pos cost            | 2284.0    |
| Volume quote                | 704758.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -18.3%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -943.302  |
| Total gain                  | -94.3%    |
| Average daily gain          | -0.557%   |
| DG mean std ratio           | -0.05995  |
| Price action distance mean  | 0.289293  |
| Price action distance std   | 0.324527  |
| Price action distance max   | 0.909932  |
| Closest bankruptcy          | 5.941%    |
| Lowest equity/balance ratio | 0.08153   |
| Equity/balance ratio std    | 0.05949   |
| No. fills                   | 1285      |
| No. entries                 | 654       |
| No. closes                  | 630       |
| No. initial entries         | 348       |
| No. reentries               | 299       |
| No. unstuck entries         | 7         |
| No. unstuck closes          | 279       |
| No. normal closes           | 351       |
| Average n fills per day     | 1.56      |
| Mean hours stuck            | 24.6157   |
| Max hours stuck             | 13078.9   |
| PNL sum                     | -943.0    |
| Profit sum                  | 19.04     |
| Loss sum                    | -962.0    |
| Fee sum                     | -0.3102   |
| Biggest pos size            | 26756.0   |
| Biggest pos cost            | 92.63     |
| Volume quote                | 3017.58   |
+-----------------------------+-----------+
