+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | binance  |
| Market type                 | futures  |
| Symbol                      | AVAXUSDT |
| No. days                    | 749.708  |
| Starting balance            | 1000.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.161%   |
| Final balance               | 1829.61  |
| Final equity                | 1119.55  |
| Net PNL + fees              | 829.61   |
| Total gain                  | 86.65%   |
| Average daily gain          | 0.0234%  |
| DG mean std ratio           | 0.01824  |
| Price action distance mean  | 0.599557 |
| Price action distance std   | 1.05563  |
| Price action distance max   | 4.2944   |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.5969   |
| Equity/balance ratio std    | 0.1383   |
| No. fills                   | 32761    |
| No. entries                 | 24687    |
| No. closes                  | 8074     |
| No. initial entries         | 7787     |
| No. reentries               | 16900    |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 2        |
| No. normal closes           | 8072     |
| Average n fills per day     | 43.7     |
| Mean hours stuck            | 0.867634 |
| Max hours stuck             | 3969.4   |
| PNL sum                     | 866.5    |
| Profit sum                  | 867.1    |
| Loss sum                    | -0.6411  |
| Fee sum                     | -36.89   |
| Biggest pos size            | 73.3     |
| Biggest pos cost            | 909.3    |
| Volume quote                | 368882.0 |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | -3.65%   |
| Final balance               | 0.001    |
| Final equity                | 0.001    |
| Net PNL + fees              | -894.752 |
| Total gain                  | -88.38%  |
| Average daily gain          | -0.612%  |
| DG mean std ratio           | -0.01751 |
| Price action distance mean  | 0.120593 |
| Price action distance std   | 0.197963 |
| Price action distance max   | 0.646185 |
| Closest bankruptcy          | 5.898%   |
| Lowest equity/balance ratio | 0.09079  |
| Equity/balance ratio std    | 0.166    |
| No. fills                   | 11776    |
| No. entries                 | 6788     |
| No. closes                  | 4987     |
| No. initial entries         | 4745     |
| No. reentries               | 2042     |
| No. unstuck entries         | 1        |
| No. unstuck closes          | 2        |
| No. normal closes           | 4985     |
| Average n fills per day     | 15.7     |
| Mean hours stuck            | 1.76333  |
| Max hours stuck             | 8229.5   |
| PNL sum                     | -883.8   |
| Profit sum                  | 276.4    |
| Loss sum                    | -1160.0  |
| Fee sum                     | -10.95   |
| Biggest pos size            | 81.8     |
| Biggest pos cost            | 634.1    |
| Volume quote                | 108843.0 |
+-----------------------------+----------+
