+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | MATICUSDT |
| No. days                    | 720.707   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.186%    |
| Final balance               | 2473.48   |
| Final equity                | 2473.1    |
| Net PNL + fees              | 1473.48   |
| Total gain                  | 149.3%    |
| Average daily gain          | 0.133%    |
| DG mean std ratio           | 0.1127    |
| Price action distance mean  | 0.01556   |
| Price action distance std   | 0.0273482 |
| Price action distance max   | 0.438504  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7938    |
| Equity/balance ratio std    | 0.01566   |
| No. fills                   | 29503     |
| No. entries                 | 10915     |
| No. closes                  | 18588     |
| No. initial entries         | 7721      |
| No. reentries               | 3194      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 18588     |
| Average n fills per day     | 40.9      |
| Mean hours stuck            | 1.54769   |
| Max hours stuck             | 265.0     |
| PNL sum                     | 1493.0    |
| Profit sum                  | 1493.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -19.58    |
| Biggest pos size            | 45244.0   |
| Biggest pos cost            | 1616.0    |
| Volume quote                | 195792.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -5.85%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -925.331  |
| Total gain                  | -92.53%   |
| Average daily gain          | -0.637%   |
| DG mean std ratio           | -0.05611  |
| Price action distance mean  | 0.314313  |
| Price action distance std   | 0.207624  |
| Price action distance max   | 0.739148  |
| Closest bankruptcy          | 5.972%    |
| Lowest equity/balance ratio | 0.08005   |
| Equity/balance ratio std    | 0.1087    |
| No. fills                   | 144       |
| No. entries                 | 81        |
| No. closes                  | 62        |
| No. initial entries         | 46        |
| No. reentries               | 35        |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 62        |
| Average n fills per day     | 0.2       |
| Mean hours stuck            | 185.989   |
| Max hours stuck             | 14737.0   |
| PNL sum                     | -925.3    |
| Profit sum                  | 0.7311    |
| Loss sum                    | -926.0    |
| Fee sum                     | -0.07238  |
| Biggest pos size            | 23495.0   |
| Biggest pos cost            | 324.9     |
| Volume quote                | 398.942   |
+-----------------------------+-----------+
