+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | UNIUSDT   |
| No. days                    | 754.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.126%    |
| Final balance               | 2368.9    |
| Final equity                | 1179.12   |
| Net PNL + fees              | 1368.9    |
| Total gain                  | 138.9%    |
| Average daily gain          | 0.0667%   |
| DG mean std ratio           | 0.0222    |
| Price action distance mean  | 0.339318  |
| Price action distance std   | 0.552349  |
| Price action distance max   | 3.04658   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.3158    |
| Equity/balance ratio std    | 0.2063    |
| No. fills                   | 4731      |
| No. entries                 | 2712      |
| No. closes                  | 2019      |
| No. initial entries         | 1786      |
| No. reentries               | 926       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 2019      |
| Average n fills per day     | 6.27      |
| Mean hours stuck            | 8.19593   |
| Max hours stuck             | 6338.2    |
| PNL sum                     | 1389.0    |
| Profit sum                  | 1389.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -20.21    |
| Biggest pos size            | 321.5     |
| Biggest pos cost            | 2153.0    |
| Volume quote                | 202113.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.133%    |
| Final balance               | 1095.84   |
| Final equity                | 1095.84   |
| Net PNL + fees              | 95.8357   |
| Total gain                  | 9.749%    |
| Average daily gain          | 0.0129%   |
| DG mean std ratio           | 0.03302   |
| Price action distance mean  | 0.0807538 |
| Price action distance std   | 0.116242  |
| Price action distance max   | 0.45762   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.923     |
| Equity/balance ratio std    | 0.01696   |
| No. fills                   | 6196      |
| No. entries                 | 3543      |
| No. closes                  | 2653      |
| No. initial entries         | 2131      |
| No. reentries               | 1412      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 2653      |
| Average n fills per day     | 8.21      |
| Mean hours stuck            | 5.41981   |
| Max hours stuck             | 3220.13   |
| PNL sum                     | 97.49     |
| Profit sum                  | 97.49     |
| Loss sum                    | 0.0       |
| Fee sum                     | -1.655    |
| Biggest pos size            | 41.5      |
| Biggest pos cost            | 101.5     |
| Volume quote                | 16550.9   |
+-----------------------------+-----------+
