+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | XRPUSDT   |
| No. days                    | 1010.65   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0568%   |
| Final balance               | 1332.37   |
| Final equity                | 1330.08   |
| Net PNL + fees              | 332.368   |
| Total gain                  | 35.59%    |
| Average daily gain          | 0.0317%   |
| DG mean std ratio           | 0.03814   |
| Price action distance mean  | 0.0403725 |
| Price action distance std   | 0.0763049 |
| Price action distance max   | 0.692317  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7993    |
| Equity/balance ratio std    | 0.02642   |
| No. fills                   | 24252     |
| No. entries                 | 15041     |
| No. closes                  | 9211      |
| No. initial entries         | 8891      |
| No. reentries               | 6144      |
| No. unstuck entries         | 6         |
| No. unstuck closes          | 100       |
| No. normal closes           | 9111      |
| Average n fills per day     | 24.0      |
| Mean hours stuck            | 2.02942   |
| Max hours stuck             | 1349.53   |
| PNL sum                     | 355.9     |
| Profit sum                  | 542.6     |
| Loss sum                    | -186.7    |
| Fee sum                     | -23.51    |
| Biggest pos size            | 3093.0    |
| Biggest pos cost            | 746.7     |
| Volume quote                | 235117.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -0.238%   |
| Final balance               | 300.143   |
| Final equity                | 300.143   |
| Net PNL + fees              | -699.857  |
| Total gain                  | -69.01%   |
| Average daily gain          | -0.0385%  |
| DG mean std ratio           | -0.01014  |
| Price action distance mean  | 0.0790627 |
| Price action distance std   | 0.118074  |
| Price action distance max   | 0.644262  |
| Closest bankruptcy          | 6.514%    |
| Lowest equity/balance ratio | 0.0941    |
| Equity/balance ratio std    | 0.08056   |
| No. fills                   | 12614     |
| No. entries                 | 8010      |
| No. closes                  | 4604      |
| No. initial entries         | 3559      |
| No. reentries               | 4387      |
| No. unstuck entries         | 64        |
| No. unstuck closes          | 700       |
| No. normal closes           | 3904      |
| Average n fills per day     | 12.5      |
| Mean hours stuck            | 2.51771   |
| Max hours stuck             | 424.75    |
| PNL sum                     | -690.1    |
| Profit sum                  | 236.7     |
| Loss sum                    | -926.8    |
| Fee sum                     | -9.763    |
| Biggest pos size            | 2599.0    |
| Biggest pos cost            | 526.9     |
| Volume quote                | 97630.9   |
+-----------------------------+-----------+
