+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | DOGEUSDT  |
| No. days                    | 824.625   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.158%    |
| Final balance               | 1917.58   |
| Final equity                | 1803.14   |
| Net PNL + fees              | 917.576   |
| Total gain                  | 96.76%    |
| Average daily gain          | 0.0829%   |
| DG mean std ratio           | 0.05502   |
| Price action distance mean  | 0.145139  |
| Price action distance std   | 0.138069  |
| Price action distance max   | 1.19401   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7279    |
| Equity/balance ratio std    | 0.04451   |
| No. fills                   | 30163     |
| No. entries                 | 24713     |
| No. closes                  | 5450      |
| No. initial entries         | 4047      |
| No. reentries               | 20651     |
| No. unstuck entries         | 15        |
| No. unstuck closes          | 1276      |
| No. normal closes           | 4174      |
| Average n fills per day     | 36.6      |
| Mean hours stuck            | 2.08898   |
| Max hours stuck             | 1875.12   |
| PNL sum                     | 967.6     |
| Profit sum                  | 1400.0    |
| Loss sum                    | -432.8    |
| Fee sum                     | -50.04    |
| Biggest pos size            | 92661.0   |
| Biggest pos cost            | 1071.0    |
| Volume quote                | 500379.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -3.32%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -914.116  |
| Total gain                  | -91.35%   |
| Average daily gain          | -0.557%   |
| DG mean std ratio           | -0.02858  |
| Price action distance mean  | 0.0661323 |
| Price action distance std   | 0.126547  |
| Price action distance max   | 0.631682  |
| Closest bankruptcy          | 5.892%    |
| Lowest equity/balance ratio | 0.1425    |
| Equity/balance ratio std    | 0.05733   |
| No. fills                   | 2667      |
| No. entries                 | 211       |
| No. closes                  | 2455      |
| No. initial entries         | 87        |
| No. reentries               | 121       |
| No. unstuck entries         | 3         |
| No. unstuck closes          | 2369      |
| No. normal closes           | 86        |
| Average n fills per day     | 3.23      |
| Mean hours stuck            | 39.3459   |
| Max hours stuck             | 14937.2   |
| PNL sum                     | -913.5    |
| Profit sum                  | 47.47     |
| Loss sum                    | -960.9    |
| Fee sum                     | -0.6408   |
| Biggest pos size            | 155228.0  |
| Biggest pos cost            | 523.4     |
| Volume quote                | 5892.83   |
+-----------------------------+-----------+
