+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | DOTUSDT   |
| No. days                    | 781.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.188%    |
| Final balance               | 3794.74   |
| Final equity                | 987.934   |
| Net PNL + fees              | 2794.74   |
| Total gain                  | 296.9%    |
| Average daily gain          | 0.0559%   |
| DG mean std ratio           | 0.01657   |
| Price action distance mean  | 0.860661  |
| Price action distance std   | 1.31634   |
| Price action distance max   | 4.53458   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.2548    |
| Equity/balance ratio std    | 0.2704    |
| No. fills                   | 33671     |
| No. entries                 | 18341     |
| No. closes                  | 15330     |
| No. initial entries         | 14350     |
| No. reentries               | 3991      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 15330     |
| Average n fills per day     | 43.1      |
| Mean hours stuck            | 1.57921   |
| Max hours stuck             | 7508.05   |
| PNL sum                     | 2969.0    |
| Profit sum                  | 2969.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -174.5    |
| Biggest pos size            | 248.0     |
| Biggest pos cost            | 3452.0    |
| Volume quote                | 1745320.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0499%   |
| Final balance               | 1036.12   |
| Final equity                | 1036.11   |
| Net PNL + fees              | 36.1186   |
| Total gain                  | 3.789%    |
| Average daily gain          | 0.022%    |
| DG mean std ratio           | 0.01169   |
| Price action distance mean  | 0.367615  |
| Price action distance std   | 0.302624  |
| Price action distance max   | 0.821741  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.5755    |
| Equity/balance ratio std    | 0.1065    |
| No. fills                   | 9831      |
| No. entries                 | 5439      |
| No. closes                  | 4392      |
| No. initial entries         | 4388      |
| No. reentries               | 1051      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 4392      |
| Average n fills per day     | 12.6      |
| Mean hours stuck            | 7.96307   |
| Max hours stuck             | 11587.9   |
| PNL sum                     | 37.89     |
| Profit sum                  | 37.89     |
| Loss sum                    | 0.0       |
| Fee sum                     | -1.768    |
| Biggest pos size            | 22.0      |
| Biggest pos cost            | 94.78     |
| Volume quote                | 17683.0   |
+-----------------------------+-----------+
