+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | MATICUSDT |
| No. days                    | 720.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.231%    |
| Final balance               | 2295.5    |
| Final equity                | 2291.57   |
| Net PNL + fees              | 1295.5    |
| Total gain                  | 139.9%    |
| Average daily gain          | 0.117%    |
| DG mean std ratio           | 0.1791    |
| Price action distance mean  | 0.0110916 |
| Price action distance std   | 0.013337  |
| Price action distance max   | 0.389217  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8599    |
| Equity/balance ratio std    | 0.005335  |
| No. fills                   | 58928     |
| No. entries                 | 31080     |
| No. closes                  | 27848     |
| No. initial entries         | 24176     |
| No. reentries               | 6706      |
| No. unstuck entries         | 198       |
| No. unstuck closes          | 2510      |
| No. normal closes           | 25338     |
| Average n fills per day     | 81.8      |
| Mean hours stuck            | 1.03358   |
| Max hours stuck             | 47.8667   |
| PNL sum                     | 1399.0    |
| Profit sum                  | 1924.0    |
| Loss sum                    | -524.9    |
| Fee sum                     | -103.7    |
| Biggest pos size            | 36959.0   |
| Biggest pos cost            | 1149.0    |
| Volume quote                | 1037320.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -3.8%     |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -897.432  |
| Total gain                  | -89.12%   |
| Average daily gain          | -0.637%   |
| DG mean std ratio           | -0.04994  |
| Price action distance mean  | 0.0437934 |
| Price action distance std   | 0.091992  |
| Price action distance max   | 0.641048  |
| Closest bankruptcy          | 5.897%    |
| Lowest equity/balance ratio | 0.1071    |
| Equity/balance ratio std    | 0.03378   |
| No. fills                   | 3338      |
| No. entries                 | 2289      |
| No. closes                  | 1048      |
| No. initial entries         | 886       |
| No. reentries               | 1402      |
| No. unstuck entries         | 1         |
| No. unstuck closes          | 148       |
| No. normal closes           | 900       |
| Average n fills per day     | 4.63      |
| Mean hours stuck            | 7.19508   |
| Max hours stuck             | 14645.4   |
| PNL sum                     | -891.2    |
| Profit sum                  | 235.5     |
| Loss sum                    | -1127.0   |
| Fee sum                     | -6.195    |
| Biggest pos size            | 37587.0   |
| Biggest pos cost            | 614.8     |
| Volume quote                | 61334.2   |
+-----------------------------+-----------+
