+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | LTCUSDT   |
| No. days                    | 1007.66   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | -0.0344%  |
| Final balance               | 840.829   |
| Final equity                | 823.154   |
| Net PNL + fees              | -159.171  |
| Total gain                  | -13.22%   |
| Average daily gain          | -0.00787% |
| DG mean std ratio           | -0.005266 |
| Price action distance mean  | 0.106485  |
| Price action distance std   | 0.137431  |
| Price action distance max   | 1.42817   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7036    |
| Equity/balance ratio std    | 0.04544   |
| No. fills                   | 11934     |
| No. entries                 | 7578      |
| No. closes                  | 4356      |
| No. initial entries         | 4206      |
| No. reentries               | 3342      |
| No. unstuck entries         | 30        |
| No. unstuck closes          | 120       |
| No. normal closes           | 4236      |
| Average n fills per day     | 11.8      |
| Mean hours stuck            | 2.65932   |
| Max hours stuck             | 578.817   |
| PNL sum                     | -132.2    |
| Profit sum                  | 618.7     |
| Loss sum                    | -750.9    |
| Fee sum                     | -26.92    |
| Biggest pos size            | 10.7      |
| Biggest pos cost            | 677.5     |
| Volume quote                | 269247.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0446%   |
| Final balance               | 1252.0    |
| Final equity                | 1251.9    |
| Net PNL + fees              | 251.998   |
| Total gain                  | 26.13%    |
| Average daily gain          | 0.025%    |
| DG mean std ratio           | 0.03366   |
| Price action distance mean  | 0.0405321 |
| Price action distance std   | 0.0286435 |
| Price action distance max   | 0.30036   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7998    |
| Equity/balance ratio std    | 0.01218   |
| No. fills                   | 6504      |
| No. entries                 | 3517      |
| No. closes                  | 2987      |
| No. initial entries         | 2981      |
| No. reentries               | 536       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 2987      |
| Average n fills per day     | 6.45      |
| Mean hours stuck            | 12.0438   |
| Max hours stuck             | 297.65    |
| PNL sum                     | 261.3     |
| Profit sum                  | 261.3     |
| Loss sum                    | 0.0       |
| Fee sum                     | -9.275    |
| Biggest pos size            | 8.8       |
| Biggest pos cost            | 588.3     |
| Volume quote                | 92745.1   |
+-----------------------------+-----------+
