+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | DOTUSDT   |
| No. days                    | 781.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.144%    |
| Final balance               | 1755.1    |
| Final equity                | 1754.72   |
| Net PNL + fees              | 755.103   |
| Total gain                  | 77.24%    |
| Average daily gain          | 0.0728%   |
| DG mean std ratio           | 0.1823    |
| Price action distance mean  | 0.0118207 |
| Price action distance std   | 0.0123111 |
| Price action distance max   | 0.934816  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7572    |
| Equity/balance ratio std    | 0.002736  |
| No. fills                   | 7401      |
| No. entries                 | 3931      |
| No. closes                  | 3470      |
| No. initial entries         | 2586      |
| No. reentries               | 1304      |
| No. unstuck entries         | 41        |
| No. unstuck closes          | 51        |
| No. normal closes           | 3419      |
| Average n fills per day     | 9.47      |
| Mean hours stuck            | 3.74247   |
| Max hours stuck             | 73.8333   |
| PNL sum                     | 772.4     |
| Profit sum                  | 785.2     |
| Loss sum                    | -12.74    |
| Fee sum                     | -17.33    |
| Biggest pos size            | 129.7     |
| Biggest pos cost            | 826.1     |
| Volume quote                | 173334.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.013%    |
| Final balance               | 1052.0    |
| Final equity                | 1052.02   |
| Net PNL + fees              | 52.0027   |
| Total gain                  | 5.26%     |
| Average daily gain          | 0.197%    |
| DG mean std ratio           | 0.02749   |
| Price action distance mean  | 0.200355  |
| Price action distance std   | 0.198882  |
| Price action distance max   | 0.670519  |
| Closest bankruptcy          | 13.57%    |
| Lowest equity/balance ratio | 0.1723    |
| Equity/balance ratio std    | 0.1657    |
| No. fills                   | 675       |
| No. entries                 | 382       |
| No. closes                  | 293       |
| No. initial entries         | 280       |
| No. reentries               | 102       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 293       |
| Average n fills per day     | 0.863     |
| Mean hours stuck            | 31.9608   |
| Max hours stuck             | 2124.2    |
| PNL sum                     | 52.6      |
| Profit sum                  | 52.6      |
| Loss sum                    | 0.0       |
| Fee sum                     | -0.5948   |
| Biggest pos size            | 25.5      |
| Biggest pos cost            | 434.6     |
| Volume quote                | 5948.09   |
+-----------------------------+-----------+
