+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | binance  |
| Market type                 | futures  |
| Symbol                      | LTCUSDT  |
| No. days                    | 1007.66  |
| Starting balance            | 1000.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.089%   |
| Final balance               | 2258.86  |
| Final equity                | 1536.78  |
| Net PNL + fees              | 1258.86  |
| Total gain                  | 127.4%   |
| Average daily gain          | 0.0942%  |
| DG mean std ratio           | 0.02972  |
| Price action distance mean  | 0.162556 |
| Price action distance std   | 0.225849 |
| Price action distance max   | 1.25766  |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.4924   |
| Equity/balance ratio std    | 0.1307   |
| No. fills                   | 3901     |
| No. entries                 | 2388     |
| No. closes                  | 1513     |
| No. initial entries         | 979      |
| No. reentries               | 1409     |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 1513     |
| Average n fills per day     | 3.87     |
| Mean hours stuck            | 10.5422  |
| Max hours stuck             | 3707.2   |
| PNL sum                     | 1274.0   |
| Profit sum                  | 1274.0   |
| Loss sum                    | 0.0      |
| Fee sum                     | -14.84   |
| Biggest pos size            | 25.4     |
| Biggest pos cost            | 2047.0   |
| Volume quote                | 148351.0 |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | 0.0638%  |
| Final balance               | 1060.2   |
| Final equity                | 1060.14  |
| Net PNL + fees              | 60.2016  |
| Total gain                  | 6.126%   |
| Average daily gain          | 0.00777% |
| DG mean std ratio           | 0.01227  |
| Price action distance mean  | 0.259993 |
| Price action distance std   | 0.240233 |
| Price action distance max   | 0.804996 |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.776    |
| Equity/balance ratio std    | 0.03761  |
| No. fills                   | 1481     |
| No. entries                 | 801      |
| No. closes                  | 680      |
| No. initial entries         | 603      |
| No. reentries               | 198      |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 680      |
| Average n fills per day     | 1.47     |
| Mean hours stuck            | 42.5772  |
| Max hours stuck             | 12220.4  |
| PNL sum                     | 61.26    |
| Profit sum                  | 61.26    |
| Loss sum                    | 0.0      |
| Fee sum                     | -1.055   |
| Biggest pos size            | 1.9      |
| Biggest pos cost            | 100.8    |
| Volume quote                | 10554.4  |
+-----------------------------+----------+
