+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | binance  |
| Market type                 | futures  |
| Symbol                      | LTCUSDT  |
| No. days                    | 1007.66  |
| Starting balance            | 1000.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.0223%  |
| Final balance               | 1118.7   |
| Final equity                | 1066.5   |
| Net PNL + fees              | 118.696  |
| Total gain                  | 11.93%   |
| Average daily gain          | 0.00692% |
| DG mean std ratio           | 0.02123  |
| Price action distance mean  | 0.172802 |
| Price action distance std   | 0.143764 |
| Price action distance max   | 1.36328  |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.9245   |
| Equity/balance ratio std    | 0.0146   |
| No. fills                   | 314      |
| No. entries                 | 156      |
| No. closes                  | 158      |
| No. initial entries         | 117      |
| No. reentries               | 39       |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 158      |
| Average n fills per day     | 0.312    |
| Mean hours stuck            | 92.6584  |
| Max hours stuck             | 3691.62  |
| PNL sum                     | 119.3    |
| Profit sum                  | 119.3    |
| Loss sum                    | 0.0      |
| Fee sum                     | -0.5969  |
| Biggest pos size            | 2.5      |
| Biggest pos cost            | 272.5    |
| Volume quote                | 5969.27  |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | 0.00611% |
| Final balance               | 1031.25  |
| Final equity                | 1029.6   |
| Net PNL + fees              | 31.2539  |
| Total gain                  | 3.155%   |
| Average daily gain          | 0.00442% |
| DG mean std ratio           | 0.007943 |
| Price action distance mean  | 0.289586 |
| Price action distance std   | 0.177683 |
| Price action distance max   | 0.78268  |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.8092   |
| Equity/balance ratio std    | 0.03016  |
| No. fills                   | 286      |
| No. entries                 | 187      |
| No. closes                  | 99       |
| No. initial entries         | 97       |
| No. reentries               | 90       |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 99       |
| Average n fills per day     | 0.284    |
| Mean hours stuck            | 187.472  |
| Max hours stuck             | 12192.4  |
| PNL sum                     | 31.55    |
| Profit sum                  | 31.55    |
| Loss sum                    | 0.0      |
| Fee sum                     | -0.2971  |
| Biggest pos size            | 1.8      |
| Biggest pos cost            | 119.1    |
| Volume quote                | 2971.14  |
+-----------------------------+----------+
