+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | TRXUSDT   |
| No. days                    | 1001.66   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0617%   |
| Final balance               | 1362.34   |
| Final equity                | 1362.23   |
| Net PNL + fees              | 362.335   |
| Total gain                  | 38.14%    |
| Average daily gain          | 0.0384%   |
| DG mean std ratio           | 0.03216   |
| Price action distance mean  | 0.0714733 |
| Price action distance std   | 0.142969  |
| Price action distance max   | 1.3943    |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7088    |
| Equity/balance ratio std    | 0.0417    |
| No. fills                   | 12848     |
| No. entries                 | 6272      |
| No. closes                  | 6576      |
| No. initial entries         | 5152      |
| No. reentries               | 1114      |
| No. unstuck entries         | 6         |
| No. unstuck closes          | 586       |
| No. normal closes           | 5990      |
| Average n fills per day     | 12.8      |
| Mean hours stuck            | 3.07062   |
| Max hours stuck             | 641.733   |
| PNL sum                     | 381.4     |
| Profit sum                  | 455.4     |
| Loss sum                    | -74.07    |
| Fee sum                     | -19.03    |
| Biggest pos size            | 34565.0   |
| Biggest pos cost            | 664.2     |
| Volume quote                | 190261.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0483%   |
| Final balance               | 1273.5    |
| Final equity                | 1273.51   |
| Net PNL + fees              | 273.503   |
| Total gain                  | 28.68%    |
| Average daily gain          | 0.0246%   |
| DG mean std ratio           | 0.081     |
| Price action distance mean  | 0.0189139 |
| Price action distance std   | 0.0139915 |
| Price action distance max   | 0.169456  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.898     |
| Equity/balance ratio std    | 0.002653  |
| No. fills                   | 14024     |
| No. entries                 | 7633      |
| No. closes                  | 6391      |
| No. initial entries         | 6123      |
| No. reentries               | 1510      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 6391      |
| Average n fills per day     | 14.0      |
| Mean hours stuck            | 3.64517   |
| Max hours stuck             | 210.133   |
| PNL sum                     | 286.8     |
| Profit sum                  | 286.8     |
| Loss sum                    | 0.0       |
| Fee sum                     | -13.3     |
| Biggest pos size            | 42416.0   |
| Biggest pos cost            | 598.3     |
| Volume quote                | 132952.0  |
+-----------------------------+-----------+
