+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | TRXUSDT   |
| No. days                    | 1001.66   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0992%   |
| Final balance               | 1643.14   |
| Final equity                | 1641.56   |
| Net PNL + fees              | 643.138   |
| Total gain                  | 67.28%    |
| Average daily gain          | 0.0571%   |
| DG mean std ratio           | 0.04727   |
| Price action distance mean  | 0.062034  |
| Price action distance std   | 0.135037  |
| Price action distance max   | 1.24884   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7223    |
| Equity/balance ratio std    | 0.04508   |
| No. fills                   | 28784     |
| No. entries                 | 19351     |
| No. closes                  | 9433      |
| No. initial entries         | 7481      |
| No. reentries               | 11858     |
| No. unstuck entries         | 12        |
| No. unstuck closes          | 1854      |
| No. normal closes           | 7579      |
| Average n fills per day     | 28.7      |
| Mean hours stuck            | 1.25423   |
| Max hours stuck             | 687.517   |
| PNL sum                     | 672.8     |
| Profit sum                  | 707.0     |
| Loss sum                    | -34.14    |
| Fee sum                     | -29.69    |
| Biggest pos size            | 35616.0   |
| Biggest pos cost            | 745.7     |
| Volume quote                | 296941.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0829%   |
| Final balance               | 1514.51   |
| Final equity                | 1513.79   |
| Net PNL + fees              | 514.511   |
| Total gain                  | 53.45%    |
| Average daily gain          | 0.127%    |
| DG mean std ratio           | 0.03036   |
| Price action distance mean  | 0.0529952 |
| Price action distance std   | 0.0999241 |
| Price action distance max   | 0.630793  |
| Closest bankruptcy          | 10.65%    |
| Lowest equity/balance ratio | 0.1456    |
| Equity/balance ratio std    | 0.101     |
| No. fills                   | 17355     |
| No. entries                 | 12434     |
| No. closes                  | 4921      |
| No. initial entries         | 4800      |
| No. reentries               | 7634      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 19        |
| No. normal closes           | 4902      |
| Average n fills per day     | 17.3      |
| Mean hours stuck            | 2.20671   |
| Max hours stuck             | 1181.22   |
| PNL sum                     | 534.5     |
| Profit sum                  | 534.6     |
| Loss sum                    | -0.06442  |
| Fee sum                     | -19.98    |
| Biggest pos size            | 49610.0   |
| Biggest pos cost            | 706.7     |
| Volume quote                | 199759.0  |
+-----------------------------+-----------+
